"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual","runtimeBART","runtimeMI","runtimeGP"
1,200324.790894146,20534.513342487,341950.713932669,NA,224994.415097164,0.670938880004003,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
2,193446.696932907,22305.3113229173,48694.5974019014,33760.1837449413,229802.506921214,0.672274923040191,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
3,190746.503115481,20861.3222768027,64382.5354516111,31601.3041622141,229380.905776512,0.673122501463761,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
4,194781.807380736,18656.8995018264,124073.454000259,206984.519178261,202613.283286845,0.673402417448243,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
5,191269.245188012,19529.1823983103,610227.398235639,970621.322195836,209093.371572869,0.67374378943267,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
6,190106.863152598,17292.6993863855,75153.0861603398,25305.0394062046,203490.993440346,0.673918244619398,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
7,189821.987695475,18177.4266780434,189594.2453213,133106.712212044,184270.451876105,0.674023138007513,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
8,186845.606055971,20722.3722718774,164282.110809889,141582.369039644,175760.651653283,0.674095206639293,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
9,184390.014921668,18662.8117139797,245986.618314723,343285.501142195,177181.541463389,0.674189859385569,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
10,186931.473253174,18152.4464103113,211489.467413922,461017.592345465,182311.509825819,0.674267468115474,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
11,188429.196891461,18759.6385408399,207717.287066552,217634.952776513,186798.982647382,0.674313764861978,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
12,180599.315828408,16904.3898200409,90526.5311255917,177943.594652909,184524.343284077,0.674365022417501,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
13,186365.351196494,19684.0515082373,60795.0900841053,67963.327360227,166709.606953797,0.67440716785498,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
14,185195.993807161,16673.3989338646,164296.438414983,146135.30886378,162038.721960249,0.674454500948024,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
15,206751.390408474,23499.492035861,192627.329519576,200977.218840096,154262.981576254,0.67448276887296,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
16,204650.191403706,23440.4326814504,129682.070418393,187329.061079959,151784.700188405,0.674507968156001,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
17,207167.238509663,17583.7581018114,186886.576963671,318705.088680884,152089.011483909,0.67452375816812,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
18,204603.382107124,23994.6272836303,214025.126238099,215642.621349594,150951.64375488,0.674542981592697,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
19,203426.585743077,20662.3141102572,149793.85729459,229083.01832859,152792.72504171,0.674559327622958,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
20,203909.597753353,20664.3647209919,129729.113763937,201566.868793003,152354.405391069,0.674568916312346,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
21,193323.020626404,25082.5340086523,176140.336035891,148383.950358349,149371.193467058,0.674580727785164,183401.291123588,8672.256,0.527999999998428,0.00400000000081491
