"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual","runtimeBART","runtimeMI","runtimeGP"
1,738847.998171652,300120.241182952,0,NA,6916.14223817018,0.671701618530356,55.956,6034.264,0.127999999999702,23737.356
2,629749.649543644,299026.460623175,0,0,9506.38556434477,0.672641114717221,55.956,6034.264,0.127999999999702,23737.356
3,665412.986418421,301984.690041566,4211.50328027437,7294.53765767819,8014.79058843295,0.673220112090214,55.956,6034.264,0.127999999999702,23737.356
4,667985.176556168,256205.795629553,52484.573937901,104969.147875802,9203.78510452992,0.673952157361802,55.956,6034.264,0.127999999999702,23737.356
5,653240.167698351,273874.434032482,7.92453692942756,17.7198032644075,8182.75546369502,0.674067678756405,55.956,6034.264,0.127999999999702,23737.356
6,697404.875756884,303882.548756897,0,0,8468.60673306922,0.674139428457102,55.956,6034.264,0.127999999999702,23737.356
7,642366.644032154,296758.712792732,142112.930280568,375995.471609044,7370.81023117051,0.674191268870566,55.956,6034.264,0.127999999999702,23737.356
8,595914.667558363,293577.454142753,765.199543473804,1418.46753283424,6866.93123601952,0.674265413225587,55.956,6034.264,0.127999999999702,23737.356
9,642453.551713155,240404.007692673,0,0,7065.47041007272,0.674327347164864,55.956,6034.264,0.127999999999702,23737.356
10,632827.38931586,240516.883307637,3599.54856110726,9067.24137245098,7355.21295639129,0.674371756291384,55.956,6034.264,0.127999999999702,23737.356
11,635474.250796256,216516.396127669,10788.7655707095,34616.1177370479,7172.54577262216,0.674416853057523,55.956,6034.264,0.127999999999702,23737.356
12,608760.399283018,238282.352782389,2085360.47603441,5132466.34496076,6861.51438397366,0.674445258483984,55.956,6034.264,0.127999999999702,23737.356
13,650008.639249973,177365.139185337,94401.2116076716,338963.989453597,10854.7067263171,0.674480698410496,55.956,6034.264,0.127999999999702,23737.356
14,660008.381618721,246494.271706238,125841.627346009,253258.311954618,11489.2847927296,0.674508126871411,55.956,6034.264,0.127999999999702,23737.356
15,661769.225360301,250684.377706759,4380.62306897887,11280.7423731446,10846.0197268451,0.674532960550364,55.956,6034.264,0.127999999999702,23737.356
16,664457.148579517,262355.034353615,656252.53092328,2616928.44567917,11911.6507629844,0.674557157247969,55.956,6034.264,0.127999999999702,23737.356
17,585867.71905246,226964.722375203,520.001777609114,2108.07999877489,11244.9039727156,0.674569929154297,55.956,6034.264,0.127999999999702,23737.356
18,546485.061510248,191613.313321118,74582.2221114839,264139.587387702,11300.4365933733,0.674579280022485,55.956,6034.264,0.127999999999702,23737.356
19,566792.230787851,242275.316360486,78459.8022169288,246319.810168274,11495.4932061046,0.674596416637079,55.956,6034.264,0.127999999999702,23737.356
20,624452.562700769,211848.315239383,334555.237072533,1344291.41566347,11422.6986731978,0.674604084396486,55.956,6034.264,0.127999999999702,23737.356
21,571700.722840506,185229.605812951,61116.1483738492,199552.506601404,11205.7918721546,0.674613744706819,55.956,6034.264,0.127999999999702,23737.356
22,624870.365507017,234980.072448132,85411.3530807779,395387.739360566,41982.72011363,0.674622668401381,55.956,6034.264,0.127999999999702,23737.356
23,625761.875797089,183410.377095928,165678.95807067,700809.115110993,46338.4970093787,0.674627863762257,55.956,6034.264,0.127999999999702,23737.356
24,600349.29985461,212627.746506545,63456.1369118727,295788.580060185,55732.3692350046,0.674631628231582,55.956,6034.264,0.127999999999702,23737.356
25,674770.803380114,237273.185172314,122135.748399278,326823.170849919,61624.4006132256,0.674637132970945,55.956,6034.264,0.127999999999702,23737.356
26,570806.665959739,190132.634842559,17596.490406626,67883.544181759,61882.8229511152,0.674639686927126,55.956,6034.264,0.127999999999702,23737.356
27,641482.954697422,41710.2848577892,99993.2622223881,448218.788375798,61987.0178144106,0.674641928201492,55.956,6034.264,0.127999999999702,23737.356
28,620279.016769395,80104.5432268454,114683.848795747,367034.430805771,60342.1294852595,0.674644277082155,55.956,6034.264,0.127999999999702,23737.356
29,592140.173412563,211534.221105046,6728.59185373315,22734.4880224131,58051.3556687177,0.674645735232209,55.956,6034.264,0.127999999999702,23737.356
30,763089.796227216,57909.409728114,85005.1276929507,447027.473236203,53012.9190151177,0.674646944948829,55.956,6034.264,0.127999999999702,23737.356
31,738747.792138904,55733.4581714592,24889.5243139467,91656.4851221747,56194.3946059918,0.674647583196939,55.956,6034.264,0.127999999999702,23737.356
32,731586.12895467,74974.0303540998,51848.1132978636,192316.208613314,55107.7343886306,0.674648932436568,55.956,6034.264,0.127999999999702,23737.356
33,665685.756311067,45787.7105424279,16446.2655032909,71798.0100661126,56246.2712280888,0.674649810386241,55.956,6034.264,0.127999999999702,23737.356
34,603953.532633274,71117.5706682018,15646.4335050968,62840.2947566666,54202.7708092298,0.674650948345923,55.956,6034.264,0.127999999999702,23737.356
35,708752.262203091,76827.3554206949,69198.2916674567,255668.867673385,63464.9357176268,0.674652667088468,55.956,6034.264,0.127999999999702,23737.356
36,661261.958644579,49422.3743161892,26640.6750717115,126178.229141257,60554.5225018725,0.674653421408065,55.956,6034.264,0.127999999999702,23737.356
37,796618.853425383,80119.2301454257,298166.977981096,1300795.47131388,62835.18149577,0.674654066617012,55.956,6034.264,0.127999999999702,23737.356
38,760502.739521905,47549.5309816963,15579.2319105453,57455.8535013038,61932.7439919097,0.674654814633542,55.956,6034.264,0.127999999999702,23737.356
39,704131.203176504,56150.7123396472,113414.078277482,681825.846137163,55921.3299879515,0.674655267139524,55.956,6034.264,0.127999999999702,23737.356
40,590762.665011867,58083.5461294728,1032.57454363793,3045.84919027403,57109.7622860728,0.674655894286662,55.956,6034.264,0.127999999999702,23737.356
41,618402.525331005,87123.492937428,616766.66102915,3596894.66073161,59045.3852948581,0.674656344025048,55.956,6034.264,0.127999999999702,23737.356
42,552154.872460314,46922.8156905173,46847.179300184,194218.317262043,57065.6476610851,0.674657243508383,55.956,6034.264,0.127999999999702,23737.356
43,824912.347507932,62489.2102350478,789283.320571817,3666014.34652269,52635.2183823469,0.674657754125618,55.956,6034.264,0.127999999999702,23737.356
44,683238.923961389,54891.4100297709,12583.6087024851,42186.6057971786,55576.0697909366,0.674658108866996,55.956,6034.264,0.127999999999702,23737.356
45,631170.282855907,51452.7080701539,12758.9208825213,33904.7857762458,53013.5626598466,0.674658765107126,55.956,6034.264,0.127999999999702,23737.356
46,610761.418509766,62121.9102236353,5996.68674331695,25907.0891358802,53584.3251151077,0.674659344905734,55.956,6034.264,0.127999999999702,23737.356
47,627968.379957728,79612.8906171415,208714.1834065,671716.779754135,49058.6554709403,0.674659694693498,55.956,6034.264,0.127999999999702,23737.356
48,468701.535131777,46650.3056828325,41686.674129028,209172.498740945,48333.2048722777,0.674659937649032,55.956,6034.264,0.127999999999702,23737.356
49,609964.571256043,61120.0133156463,6090.68034159683,24925.1826172695,49079.845935678,0.674660204083388,55.956,6034.264,0.127999999999702,23737.356
50,616487.111088706,55678.5386284621,143710.174927442,875151.410076365,53252.0214753986,0.674660683006187,55.956,6034.264,0.127999999999702,23737.356
51,875289.83991151,85670.384992389,25322.0839325499,123130.786870558,62908.689653071,0.67466100710357,55.956,6034.264,0.127999999999702,23737.356
52,789417.909168906,56620.936848751,25038.6746658359,165138.66342008,68753.2508514697,0.674661304778684,55.956,6034.264,0.127999999999702,23737.356
53,607823.284152404,74759.0300825459,138290.839832054,602590.625609885,71728.8442089661,0.674661488596243,55.956,6034.264,0.127999999999702,23737.356
54,491285.528271035,41674.8185296463,133362.971336522,668827.768458169,72647.4175521115,0.67466170005028,55.956,6034.264,0.127999999999702,23737.356
55,447734.229624254,24275.9596474938,2996.00616527824,11024.8138028717,75538.4216935853,0.674661928042518,55.956,6034.264,0.127999999999702,23737.356
56,436463.34591842,44688.8025018645,5529.50381029245,26202.9091228057,71029.1384231362,0.674662128363184,55.956,6034.264,0.127999999999702,23737.356
57,400200.854642803,43807.9580902692,591283.648522288,3161129.44834019,68717.0518185865,0.674662363915338,55.956,6034.264,0.127999999999702,23737.356
58,409952.04848386,39171.8313311342,25212.3161681084,94124.3402602701,68934.5151874617,0.674662637382094,55.956,6034.264,0.127999999999702,23737.356
59,421085.969899341,28729.7433394436,534714.367016513,2933258.67355816,69555.7993404939,0.674662841925017,55.956,6034.264,0.127999999999702,23737.356
60,417950.236405166,43364.968205028,123648.597082617,538981.566853578,70400.3155353496,0.674662992941858,55.956,6034.264,0.127999999999702,23737.356
61,455550.821135655,34577.5558585921,18359.03866012,87349.058275259,68938.6924691202,0.674663187880962,55.956,6034.264,0.127999999999702,23737.356
62,373497.971083097,24325.1002284708,197576.374972875,823803.068719342,69425.6065852618,0.674663379702945,55.956,6034.264,0.127999999999702,23737.356
63,411633.719081536,27511.2046812006,70030.8360601274,283501.794584194,69672.9996770635,0.674663492827551,55.956,6034.264,0.127999999999702,23737.356
64,418630.909346168,49408.9862849401,64730.0059034998,293128.902997571,69303.0196892912,0.674663586067361,55.956,6034.264,0.127999999999702,23737.356
65,437857.193981122,45094.1398063007,34967.2574983614,140746.670214336,70359.3229162199,0.674663664884733,55.956,6034.264,0.127999999999702,23737.356
66,407264.082417085,28512.0437032928,18112.5336303575,76044.0997897592,70905.7303752952,0.674663773384718,55.956,6034.264,0.127999999999702,23737.356
67,408533.862915234,28687.9157972488,124309.3940283,519531.748418082,71749.9529843243,0.674663843147125,55.956,6034.264,0.127999999999702,23737.356
68,565512.55499625,54697.084149474,116370.309556619,456476.26583485,73788.8373200272,0.674663941891658,55.956,6034.264,0.127999999999702,23737.356
69,368279.267311487,27744.3779533905,18348.4235533609,117736.680009087,73175.9220934405,0.674664045945044,55.956,6034.264,0.127999999999702,23737.356
70,351696.428567022,45690.9172360601,235842.283338324,1396198.25583756,68879.2572546238,0.674664131110041,55.956,6034.264,0.127999999999702,23737.356
71,295616.637264159,38338.1639136719,17873.2800263226,82658.6123985363,64351.5306005374,0.674664243534155,55.956,6034.264,0.127999999999702,23737.356
72,356953.603781966,41514.1250447097,140366.59680355,724915.16872247,63448.3608579866,0.674664310015904,55.956,6034.264,0.127999999999702,23737.356
73,312032.942895374,27954.1832255422,63211.8893508808,280414.13464182,64653.6481308499,0.674664362299015,55.956,6034.264,0.127999999999702,23737.356
74,481439.398213142,42788.9328451718,44096.1144214242,255166.408653119,64657.7468479331,0.674664418691751,55.956,6034.264,0.127999999999702,23737.356
75,335833.630885121,36346.2475740833,94930.7225227165,332942.536572049,64955.3843186857,0.674664478038823,55.956,6034.264,0.127999999999702,23737.356
76,377569.057068332,45418.0762846706,136586.402817726,1134546.80901921,66167.7393429175,0.674664549940198,55.956,6034.264,0.127999999999702,23737.356
77,428382.76259542,42619.0765839436,70593.8760241698,355225.448411475,61986.1285657339,0.674664597910148,55.956,6034.264,0.127999999999702,23737.356
78,396546.340606164,42221.1600318916,32377.0226504008,120917.182605955,63933.1160279022,0.674664631029966,55.956,6034.264,0.127999999999702,23737.356
79,432684.39065762,57888.2088972829,82669.1429344791,316918.228286034,62378.9507140981,0.674664656629718,55.956,6034.264,0.127999999999702,23737.356
80,297178.251580846,31904.609710835,156758.076269908,550012.319573925,62900.7398365366,0.674664691576545,55.956,6034.264,0.127999999999702,23737.356
81,343235.783658149,27555.2575733716,12561.6470901141,39527.0819867349,62270.6070089474,0.674664714607469,55.956,6034.264,0.127999999999702,23737.356
82,364652.893791294,50234.1195142314,31568.0439526017,177452.526321493,62482.1751221846,0.674664742001941,55.956,6034.264,0.127999999999702,23737.356
83,365192.56280157,25716.0744398472,100203.044109853,811128.017001947,62039.8383664478,0.674664781629566,55.956,6034.264,0.127999999999702,23737.356
84,315162.477052903,20669.3977888671,32446.7237091597,147376.539123942,68137.5938821658,0.674664807874754,55.956,6034.264,0.127999999999702,23737.356
85,353391.283464955,31744.434035765,311274.070560671,2260635.41725169,68780.9362522221,0.67466483032011,55.956,6034.264,0.127999999999702,23737.356
86,341719.850713237,39842.846668665,146363.20072516,816319.515423497,68863.2263956271,0.674664855314804,55.956,6034.264,0.127999999999702,23737.356
87,503073.418247869,32473.2837828124,24185.7431407384,89880.7917761253,66094.2334786828,0.674664902134904,55.956,6034.264,0.127999999999702,23737.356
88,392958.166269028,40555.7181617825,53159.5024979195,243021.677996626,65955.2845326709,0.674664921510292,55.956,6034.264,0.127999999999702,23737.356
89,466053.861238325,50080.2153466773,88106.6464822774,745993.42703738,61004.584985078,0.674664946691034,55.956,6034.264,0.127999999999702,23737.356
90,335004.008535934,30922.7923360832,12812.3527479655,37626.894628219,60641.318604449,0.674664973553133,55.956,6034.264,0.127999999999702,23737.356
91,306872.708971144,19847.0539483918,112180.873508833,614507.682437853,60560.7385905411,0.674664995447155,55.956,6034.264,0.127999999999702,23737.356
92,300100.580033985,43820.3569064616,53766.2703054601,269740.04164314,59903.5938056479,0.674665011053593,55.956,6034.264,0.127999999999702,23737.356
93,346732.167429446,38153.0052439489,55733.6590270552,156500.513616121,60593.230048631,0.674665022709871,55.956,6034.264,0.127999999999702,23737.356
94,384816.668935907,34940.880007111,9226.46495434681,43839.6941354349,61142.1941633982,0.674665038300088,55.956,6034.264,0.127999999999702,23737.356
95,318377.352992248,36017.2413605265,35733.8714749987,132822.008072933,61756.2725852532,0.674665072402559,55.956,6034.264,0.127999999999702,23737.356
96,432166.622366449,52298.3213115848,157262.23407972,911977.424542556,63475.7232324494,0.674665095972726,55.956,6034.264,0.127999999999702,23737.356
97,345840.772048967,68677.28660476,15642.5794026993,58398.2631324075,62799.2513809831,0.674665108679131,55.956,6034.264,0.127999999999702,23737.356
98,287092.230627004,33197.0999182389,203718.109332673,1832617.22134818,62601.1599800688,0.67466512701794,55.956,6034.264,0.127999999999702,23737.356
99,348778.928885035,24525.6580282924,50954.0346726797,378395.292513991,64174.1433493092,0.674665147091856,55.956,6034.264,0.127999999999702,23737.356
100,324514.489385921,38936.2013951569,194033.835557203,1166561.80701515,63745.9449285489,0.674665160140752,55.956,6034.264,0.127999999999702,23737.356
101,314164.08820715,31310.1316914777,84232.0719525388,504973.226589448,65969.5567693437,0.674665170919557,55.956,6034.264,0.127999999999702,23737.356
102,381828.904678145,36832.0253845581,76366.3274457111,334037.849868513,65042.4219886842,0.674665184666561,55.956,6034.264,0.127999999999702,23737.356
103,334814.200778929,27806.0765490482,47762.8514565868,204529.653835976,68651.0240584353,0.674665194433283,55.956,6034.264,0.127999999999702,23737.356
104,332943.409914852,60533.7914397378,116104.1325358,606907.369948002,65841.3102625989,0.674665206992048,55.956,6034.264,0.127999999999702,23737.356
105,302093.970593202,24761.5530038693,41324.2561263234,164316.602572688,65666.2314742422,0.674665216317457,55.956,6034.264,0.127999999999702,23737.356
106,288006.532812958,49651.7608864641,220726.350056315,2162564.03638972,65184.1769710936,0.674665223582742,55.956,6034.264,0.127999999999702,23737.356
107,383565.660653097,55982.1375303295,37635.3832969957,201083.270129764,66225.0612183815,0.674665231582197,55.956,6034.264,0.127999999999702,23737.356
108,308947.760801149,35845.0561600285,52135.820121788,340044.063056446,65434.3598384155,0.674665242136859,55.956,6034.264,0.127999999999702,23737.356
109,231037.466614365,39180.5272121193,189030.996313221,1169015.75103056,66483.9992730895,0.674665252829352,55.956,6034.264,0.127999999999702,23737.356
110,368995.946461678,27318.9308765243,352742.711189291,2891219.59626733,67350.1879904157,0.674665261677348,55.956,6034.264,0.127999999999702,23737.356
111,292631.630789815,23926.6285725239,38292.1330039358,121122.52500713,65298.4937621204,0.674665267917801,55.956,6034.264,0.127999999999702,23737.356
112,287683.644128597,24461.4647272304,62085.9871927462,447357.454632758,64739.8921245586,0.674665274026601,55.956,6034.264,0.127999999999702,23737.356
113,300344.576342663,25055.7468867685,37554.9411977561,135965.700346976,63490.0398035428,0.674665287884182,55.956,6034.264,0.127999999999702,23737.356
114,363274.088194826,56241.3007217608,77190.309481215,342719.103344518,62180.7207365594,0.674665296302862,55.956,6034.264,0.127999999999702,23737.356
115,367431.892905121,40699.1817370648,258283.99911002,2343920.74495004,61044.4802859391,0.674665303664575,55.956,6034.264,0.127999999999702,23737.356
116,387527.082674971,34529.138146232,78907.7599396766,451162.132829623,59365.64474766,0.674665310582573,55.956,6034.264,0.127999999999702,23737.356
117,321782.035481288,25234.6941214545,354904.376320796,2234893.32370068,58891.9714223825,0.674665316392772,55.956,6034.264,0.127999999999702,23737.356
118,284945.719435931,61380.6192623335,54693.1013957448,248903.616375737,57812.2129045113,0.674665322030659,55.956,6034.264,0.127999999999702,23737.356
119,356742.711396298,28024.7023706753,152012.211751494,898301.181368285,56135.1810677981,0.674665327385243,55.956,6034.264,0.127999999999702,23737.356
