"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual","runtimeBART","runtimeMI","runtimeGP"
1,3951148492938.19,1651221104531.8,0,NA,52427533385.0765,0.438338052400777,3131,7394.672,0.180000000000291,30205.18
2,3984377208886.86,2135623178274.37,0,0,46068441052.4284,0.44181124468325,3131,7394.672,0.180000000000291,30205.18
3,3505712548107.73,1775941384584.48,0,0,122339856790.162,0.443696570438263,3131,7394.672,0.180000000000291,30205.18
4,3833810909266.74,1589791647096.27,2268471405196.37,4523419404125.41,146836541782.067,0.445935569021299,3131,7394.672,0.180000000000291,30205.18
5,3314418250184.37,1613901653616.32,21520389.3391844,22177209.3623768,132501356390.484,0.447283415965193,3131,7394.672,0.180000000000291,30205.18
6,3282693107293.52,1593427259050.56,0,0,135962681590.179,0.448710544043316,3131,7394.672,0.180000000000291,30205.18
7,3757694462508.47,1777839548617.48,14400676621.0086,38083597042.0945,140260328795.57,0.449666375436497,3131,7394.672,0.180000000000291,30205.18
8,3338918690052.36,1463679432769.96,1031443328439.7,2908165258129.16,113192952750.537,0.450229921196862,3131,7394.672,0.180000000000291,30205.18
9,3371545243992.06,1437266579810.92,9513017889717.33,28358838290930.7,102771293456.046,0.450853273107062,3131,7394.672,0.180000000000291,30205.18
10,3339544983158.77,1399354291869.14,0,0,82652903600.9512,0.451300978575929,3131,7394.672,0.180000000000291,30205.18
11,3654131334540.39,1652958635813.32,5072400814873.05,16627664719424.3,73795605152.3152,0.451665566283917,3131,7394.672,0.180000000000291,30205.18
12,3617825684000.49,1344333699313.68,22359074097.8255,72837839875.3662,72642699100.2483,0.452109657885958,3131,7394.672,0.180000000000291,30205.18
13,3348412126636.67,1435043852185,61592155899.4897,182404494125.284,76276561044.5048,0.452372164242773,3131,7394.672,0.180000000000291,30205.18
14,3185725172765.41,1394119470494.85,171415670382.146,641366353069.561,73762429683.2372,0.452672953167982,3131,7394.672,0.180000000000291,30205.18
15,2922066632090.4,1716119681991.55,80687781779.9655,285640011049.876,78025222528.0072,0.452936753760534,3131,7394.672,0.180000000000291,30205.18
16,2920432200932.65,1558499972874,104671506499.128,401850001944.848,83624377240.3261,0.453086113504474,3131,7394.672,0.180000000000291,30205.18
17,3200467395400.26,1522098233130.56,241514821.283886,835909277.215263,80647486195.8646,0.453227529381938,3131,7394.672,0.180000000000291,30205.18
18,2713385543865.04,1399696144452.4,540574858774.18,2275899258999.9,72771850579.1706,0.453336041120013,3131,7394.672,0.180000000000291,30205.18
19,3053211944302.3,1341302293710.26,29400812497.5289,126954797679.438,70709624266.7201,0.453504304528261,3131,7394.672,0.180000000000291,30205.18
20,3026392050300.36,1468094305882.99,484261164861.066,1654241777329.44,66484661289.8696,0.453635425551179,3131,7394.672,0.180000000000291,30205.18
