"","mi_ground_truths","bart_ground_truths"
"1",10.04666538156,10.0465503263513
"2",10.04666538156,10.0468359707783
"3",10.04666538156,10.0466788519825
"4",10.04666538156,10.0465760325828
"5",10.04666538156,10.0464941615206
"6",10.04666538156,10.0468342435071
"7",10.04666538156,10.0465986668204
"8",10.04666538156,10.0468396580805
"9",10.04666538156,10.0467596642358
"10",10.04666538156,10.0465778045627
"11",10.04666538156,10.0465774577891
"12",10.04666538156,10.0467763542391
"13",10.04666538156,10.0466817684565
"14",10.04666538156,10.0465705356108
"15",10.04666538156,10.046579433159
"16",10.04666538156,10.0465923915705
"17",10.04666538156,10.046451923909
"18",10.04666538156,10.0469282002959
"19",10.04666538156,10.046626094535
"20",10.04666538156,10.0464984233093
