"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual"
1,0.144226770235501,0.00664828664282014,0.587164587914252,NA,0.101963338049493,0.854343711252318,0.13481
2,0.146098623891759,0.00520490024917299,0.0982260224999668,0.108995584046623,0.0733297163962441,0.854348852802822,0.13481
3,0.144729678032734,0.00585802301697019,0.041536668306421,0.0262920095139994,0.0852593246212157,0.854349020556898,0.13481
4,0.144316868985429,0.00506775637372656,0.137185388133613,0.129575964198815,0.131327569760788,0.854349074439947,0.13481
5,0.144732128937175,0.00504833831938648,0.134156351024063,0.0494505958835185,0.114288489982784,0.854349100549174,0.13481
