"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual","runtimeBART","runtimeMI","runtimeGP"
1,0.193174321544635,0.00739457901868994,0.993600701568658,NA,0.188250037254226,0.924310101588035,0.95892,11612.58,0.0799999999999272,16282.852
2,0.19180471001292,0.00746207381311121,0.265239579531782,0.510200541056121,0.190735453294986,0.924310103161071,0.95892,11612.58,0.0799999999999272,16282.852
3,0.192794424514987,0.00770766624238293,-0.242265028089533,0.836738694400984,0.191347799895532,0.92431010321379,0.95892,11612.58,0.0799999999999272,16282.852
4,0.190602478197572,0.00745988948497413,0.0652195648838273,0.607617701663141,0.191191832280054,0.924310103222779,0.95892,11612.58,0.0799999999999272,16282.852
5,0.191522069989759,0.00809061517752347,0.286016132439048,0.58120215970561,0.191233070729806,0.924310103214705,0.95892,11612.58,0.0799999999999272,16282.852
6,0.192327837229382,0.00593783314589088,0.187959760823634,0.36338911375044,0.191215146501685,0.92431010321958,0.95892,11612.58,0.0799999999999272,16282.852
7,0.190128764768259,0.00795999370332558,0.248466297020536,0.542923114261485,0.191279879100245,0.924310103224089,0.95892,11612.58,0.0799999999999272,16282.852
8,0.192478892557158,0.00654182969592363,0.58579110106138,0.507897648873816,0.19138411570953,0.924310103223005,0.95892,11612.58,0.0799999999999272,16282.852
9,0.191850038853578,0.00806911613476715,0.150956782064474,0.706585851973685,0.191406875273308,0.924310103218778,0.95892,11612.58,0.0799999999999272,16282.852
10,0.191458045930029,0.00751886982897591,0.402736951502698,0.514032376788139,0.191433969873214,0.924310103224045,0.95892,11612.58,0.0799999999999272,16282.852
11,0.192802546182808,0.00681449481494445,0.490963084764784,0.51749999598965,0.191200561197465,0.924310103221849,0.95892,11612.58,0.0799999999999272,16282.852
12,0.192550455870725,0.00764566959098599,0.19676829158077,0.679634070630712,0.191345705496603,0.924310103223812,0.95892,11612.58,0.0799999999999272,16282.852
13,0.190701763626869,0.00808438535756349,0.455530851376467,0.62108521766344,0.191530644934796,0.924310103223385,0.95892,11612.58,0.0799999999999272,16282.852
14,0.192031985796527,0.00654651726620171,0.301931370067312,0.62839440853064,0.191555424008931,0.924310103219063,0.95892,11612.58,0.0799999999999272,16282.852
15,0.19058501463315,0.00714952664522485,0.68190264986143,0.58666235761552,0.191714027977316,0.924310103221705,0.95892,11612.58,0.0799999999999272,16282.852
16,0.189446724764223,0.00864762147618568,0.330954933733705,0.60472683342344,0.191537274721302,0.924310103226651,0.95892,11612.58,0.0799999999999272,16282.852
17,0.192970107219126,0.00719633323917036,0.0653110526017243,0.586204811529116,0.191379390515334,0.924310103221289,0.95892,11612.58,0.0799999999999272,16282.852
18,0.19120975530297,0.00880997059648352,0.343701133290241,0.538545934579705,0.191570003086433,0.924310103223701,0.95892,11612.58,0.0799999999999272,16282.852
19,0.191413414591181,0.00662044618505343,0.107878779542295,0.75169961377617,0.191446553671336,0.924310103218288,0.95892,11612.58,0.0799999999999272,16282.852
20,0.191942827602976,0.0074514155586679,0.372851927937952,0.603310237398006,0.19163675256315,0.924310103220868,0.95892,11612.58,0.0799999999999272,16282.852
21,0.193646732878472,0.0088006325156251,0.447786701541625,0.580983078182853,0.191641517552631,0.924310103223244,0.95892,11612.58,0.0799999999999272,16282.852
22,0.190412074735316,0.011613692566401,0.172713421434241,0.650223313669489,0.191573935931549,0.924310103215222,0.95892,11612.58,0.0799999999999272,16282.852
23,0.191778955586168,0.00802793122247257,0.365652298791227,0.664016600263257,0.191580403861032,0.924310103221797,0.95892,11612.58,0.0799999999999272,16282.852
24,0.191620509236589,0.00831435464137634,0.231302240358673,0.697561156381861,0.19157977299593,0.924310103222596,0.95892,11612.58,0.0799999999999272,16282.852
25,0.191654099400312,0.00726904406908413,0.326211240500601,0.582331696890023,0.191626879845554,0.924310103215814,0.95892,11612.58,0.0799999999999272,16282.852
26,0.192137650495617,0.00619364918218331,0.118665255012837,0.682179849875211,0.191301459893052,0.924310103215416,0.95892,11612.58,0.0799999999999272,16282.852
27,0.190576046743922,0.00796348155254974,0.14874023971984,0.678967309827694,0.191423252382836,0.924310103221715,0.95892,11612.58,0.0799999999999272,16282.852
28,0.19273469222367,0.00695021468650706,0.0428311795259744,0.672571897139864,0.191418745022017,0.924310103221181,0.95892,11612.58,0.0799999999999272,16282.852
29,0.19065223286239,0.00830285102753237,0.264391520041491,0.684921129122498,0.191405731041928,0.924310103229775,0.95892,11612.58,0.0799999999999272,16282.852
30,0.191646612802436,0.00678786842960223,0.343814607286901,0.502023982425424,0.191433763624179,0.924310103218228,0.95892,11612.58,0.0799999999999272,16282.852
31,0.190571773336679,0.00763661828093125,0.360501201990343,0.666688808451121,0.191426800623763,0.924310103221911,0.95892,11612.58,0.0799999999999272,16282.852
32,0.190284393788247,0.00786971609929663,0.171046188071126,0.690680535352215,0.191328371788677,0.924310103217726,0.95892,11612.58,0.0799999999999272,16282.852
33,0.192246168792468,0.00753829690912578,0.229392891220988,0.646239520473018,0.191118248029357,0.924310103216793,0.95892,11612.58,0.0799999999999272,16282.852
34,0.190437457886707,0.00958789419973212,-0.0478097619250737,0.627548472501851,0.191464805421353,0.924310103217116,0.95892,11612.58,0.0799999999999272,16282.852
35,0.190409071920791,0.00891715628361208,0.3384144820883,0.620207415321906,0.191390590237679,0.92431010321741,0.95892,11612.58,0.0799999999999272,16282.852
36,0.191294201540982,0.0065345471914196,0.222162383663336,0.685151086559803,0.191423507199707,0.924310103214482,0.95892,11612.58,0.0799999999999272,16282.852
37,0.192602699750386,0.00721213053326882,0.340160712350123,0.638647236075664,0.191511000662344,0.924310103216354,0.95892,11612.58,0.0799999999999272,16282.852
