epochs,BARTMean,BARTsd,MIMean,MIsd,GPMean,GPsd,actual,runtimeBART,runtimeMI,runtimeGP
1,-0.128884887,0.059124988,-0.77597279,NA,0.177658625,0.787606243,-0.000487577,9560.812,0.124,0
2,-0.132485651,0.076730825,0.032880223,1.365898011,-0.427985533,0.789414598,-0.000487577,9560.812,0.124,0
3,-0.122005828,0.054743578,0.314803262,1.025185916,-0.119972383,0.789597403,-0.000487577,9560.812,0.124,0
4,-0.130355249,0.0561259,-0.106373626,0.780290457,-0.052683767,0.789653126,-0.000487577,9560.812,0.124,0
5,-0.128056137,0.056943438,0.126781627,0.654384308,0.048229663,0.789662062,-0.000487577,9560.812,0.124,0
6,-0.12560199,0.073678398,-0.036590187,0.898861585,0.107176527,0.789667109,-0.000487577,9560.812,0.124,0
7,-0.09986881,0.066135342,-0.33398592,0.754509359,0.027469214,0.789671735,-0.000487577,9560.812,0.124,0
8,-0.108514915,0.052369115,0.031185963,0.678377523,0.078403078,0.789674691,-0.000487577,9560.812,0.124,0
9,-0.097815662,0.067379293,0.354967617,0.687859076,0.073838478,0.789676489,-0.000487577,9560.812,0.124,0
10,-0.090579846,0.048734819,0.128332803,0.697922904,0.149376166,0.789677269,-0.000487577,9560.812,0.124,0
11,-0.104087236,0.064924964,-0.157043325,0.670538591,0.211042465,0.78967886,-0.000487577,9560.812,0.124,0
12,-0.100115927,0.062698471,-0.174404253,0.759936199,0.213164394,0.789680654,-0.000487577,9560.812,0.124,0
13,-0.084920618,0.053275128,-0.378677457,0.714929235,0.341852393,0.789681696,-0.000487577,9560.812,0.124,0
14,-0.073329157,0.060459953,0.216911952,0.650683707,0.260222406,0.789682001,-0.000487577,9560.812,0.124,0
15,-0.083834007,0.06048752,-0.16889282,0.68058004,0.218530938,0.789682416,-0.000487577,9560.812,0.124,0
16,-0.071308518,0.059356007,0.057256811,0.690966403,0.14585786,0.789682849,-0.000487577,9560.812,0.124,0
17,-0.07547994,0.059098215,-0.073033465,0.825670276,0.015490842,0.789682929,-0.000487577,9560.812,0.124,0
18,-0.060802263,0.058142352,-0.093980884,0.77275866,-0.022337541,0.789683064,-0.000487577,9560.812,0.124,0
19,-0.075951585,0.049315975,0.20039033,0.652606446,0.037083599,0.789683125,-0.000487577,9560.812,0.124,0
20,-0.068588703,0.065716231,-0.146502094,0.709549689,0.056885915,0.789683175,-0.000487577,9560.812,0.124,0
21,-0.081179821,0.054778826,0.094271664,0.598288172,0.122556252,0.789683229,-0.000487577,9560.812,0.124,0
22,-0.090249753,0.072636602,-0.142812336,0.655483881,0.258189804,0.789683265,-0.000487577,9560.812,0.124,0
23,-0.078177956,0.069747166,-0.425388171,0.72568493,0.279018467,0.789683294,-0.000487577,9560.812,0.124,0
24,-0.059881556,0.06666164,-0.01599622,0.793386671,0.152221206,0.789683334,-0.000487577,9560.812,0.124,0
25,-0.05672796,0.06197293,-0.175309089,0.658949183,0.149687247,0.789683394,-0.000487577,9560.812,0.124,0
26,-0.049269871,0.064971669,-0.062659687,0.754329577,0.41158478,0.789683428,-0.000487577,9560.812,0.124,0
27,-0.058043637,0.061647832,0.022726374,0.714657924,0.457942214,0.789683451,-0.000487577,9560.812,0.124,0
28,-0.06311081,0.054665386,-0.043136387,0.72876266,0.472035601,0.789683467,-0.000487577,9560.812,0.124,0
29,-0.080506894,0.062264616,0.118984663,0.70025907,0.464676373,0.789683478,-0.000487577,9560.812,0.124,0
30,-0.049488565,0.067905596,-0.134371089,0.762674979,0.381151333,0.789683489,-0.000487577,9560.812,0.124,0
