"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual","runtimeBART","runtimeMI","runtimeGP"
1,-0.0747415638788891,0.0485617169723918,-0.0787514003446126,NA,-0.149774637199237,0.671086767450287,-0.0892069035716484,5701.112,0.0879999999997381,0
2,-0.0638281732157563,0.0536762644644292,0.00444429925466683,1.40605583346194,-0.144603383617828,0.672058571195096,-0.0892069035716484,5701.112,0.0879999999997381,0
3,-0.0774179748632602,0.0483573419149978,-0.498485515448853,0.418721570806282,-0.119499216194134,0.672931200127155,-0.0892069035716484,5701.112,0.0879999999997381,0
4,-0.084252107175043,0.0441489646771817,0.0249693543689505,0.794324253182966,-0.103398333963821,0.673323756819165,-0.0892069035716484,5701.112,0.0879999999997381,0
5,-0.0658899137754273,0.0500798219571203,-0.559515221822608,0.312543495568112,-0.129379346271483,0.673588770343907,-0.0892069035716484,5701.112,0.0879999999997381,0
6,-0.0652832611866184,0.0457693281738289,-0.365301822533847,0.663603712060579,-0.109013286290413,0.673799993804196,-0.0892069035716484,5701.112,0.0879999999997381,0
7,-0.0772670248370865,0.043215024007483,0.0865822598878781,0.811389217226136,-0.0915768189491742,0.673978603845471,-0.0892069035716484,5701.112,0.0879999999997381,0
8,-0.0787495631111046,0.0476678730896272,-0.0304196835745858,0.72767686148199,-0.0743284659771644,0.674084732944779,-0.0892069035716484,5701.112,0.0879999999997381,0
9,-0.0923697018404949,0.0458147030074846,-0.0104918012166181,0.73899969360118,-0.0713399942528002,0.674201975463858,-0.0892069035716484,5701.112,0.0879999999997381,0
10,-0.089237443092528,0.0403976591039837,-0.346166690279446,0.621100554236585,-0.0786137948372036,0.674258069702811,-0.0892069035716484,5701.112,0.0879999999997381,0
11,-0.0926612331683454,0.0462683321966252,-0.401341443705984,0.629527931640439,-0.0964408082166311,0.67430287972116,-0.0892069035716484,5701.112,0.0879999999997381,0
12,-0.0925988279228734,0.053657594339667,-0.130483184142038,0.771547316536994,-0.0934294392313742,0.674337706839655,-0.0892069035716484,5701.112,0.0879999999997381,0
13,-0.100844828110225,0.0418885896657371,0.0033067360055815,0.616479958229718,-0.0810408846361765,0.674385368883109,-0.0892069035716484,5701.112,0.0879999999997381,0
14,-0.106835162064807,0.0462751789926146,-0.0284689586940554,0.627838900847179,-0.0889597046758504,0.674458012963276,-0.0892069035716484,5701.112,0.0879999999997381,0
15,-0.0956695607887285,0.0432669606595936,0.120096817617646,0.672007517497639,-0.0818512758245957,0.674500287319951,-0.0892069035716484,5701.112,0.0879999999997381,0
16,-0.100631854174324,0.0379264582475673,-0.0850214924988493,0.664830694449465,-0.0782924913625379,0.674529395377385,-0.0892069035716484,5701.112,0.0879999999997381,0
17,-0.101824846156837,0.0496842171883868,-0.244080549345667,0.741646806917246,-0.0761447559575757,0.674555195224489,-0.0892069035716484,5701.112,0.0879999999997381,0
18,-0.106324224243602,0.0453711009371692,0.0699101863430834,0.612956963588801,-0.063687066807436,0.674568280392728,-0.0892069035716484,5701.112,0.0879999999997381,0
19,-0.106308034570596,0.0391102290596558,0.0405193163217894,0.697815800100003,-0.0477697147634723,0.674596043077062,-0.0892069035716484,5701.112,0.0879999999997381,0
20,-0.107369843336879,0.0419964448382159,0.049109232784861,0.764302543015824,-0.0521655499931489,0.674603175470655,-0.0892069035716484,5701.112,0.0879999999997381,0
21,-0.11093894271934,0.0412742342331842,-0.148715456344056,0.721383022457922,-0.0579706920031696,0.674608657069119,-0.0892069035716484,5701.112,0.0879999999997381,0
22,-0.121541441975606,0.043757202893391,-0.320941538869284,0.754220649464522,-0.0629484995574283,0.674616419572987,-0.0892069035716484,5701.112,0.0879999999997381,0
23,-0.113955047541999,0.0389569619177177,0.0465654712293232,0.595214864149078,-0.0883381935392368,0.674624994743479,-0.0892069035716484,5701.112,0.0879999999997381,0
24,-0.118803190763278,0.042934941100112,-0.159136074684925,0.719681794009154,-0.0860401460626611,0.674629844488059,-0.0892069035716484,5701.112,0.0879999999997381,0
25,-0.129431524060937,0.0424960984789723,-0.170164221353511,0.691181886341624,-0.0837722617252239,0.674633677948976,-0.0892069035716484,5701.112,0.0879999999997381,0
26,-0.117752101208683,0.0400319637837279,-0.000853593516204748,0.726196302714128,-0.0892308096120406,0.674636681005926,-0.0892069035716484,5701.112,0.0879999999997381,0
27,-0.124197590763315,0.0390348126611134,-0.120957311237181,0.803231338770893,-0.0880058676505036,0.674638583404751,-0.0892069035716484,5701.112,0.0879999999997381,0
