"epochs","GPMean","GPVariance","runtimeGP"
1,0.15695605297032,-8.20780128854004e-05,14031.108
2,0.156623463741133,-0.00010484508851405,14031.108
3,0.157778193090696,-0.000129502148986993,14031.108
4,0.158551826572287,-0.000149663467687189,14031.108
5,0.159238281530577,-0.000160152689919868,14031.108
6,0.158883231898398,-0.000170904730468657,14031.108
7,0.159331180054156,-0.000184174510517221,14031.108
8,0.159302177480208,-0.000195414794065707,14031.108
9,0.158332178223038,-0.000201923962702577,14031.108
10,0.158474386318484,-0.000208895830673073,14031.108
11,0.15880282173715,-0.000214899320422401,14031.108
12,0.15867628882248,-0.00022084975193537,14031.108
13,0.158343733333877,-0.000225283036177193,14031.108
14,0.158315619600875,-0.000230898212883579,14031.108
15,0.158506488916773,-0.000233973149175282,14031.108
16,0.158302527855272,-0.00023614748274059,14031.108
17,0.158230768494884,-0.000239634240464692,14031.108
18,0.158924967292782,-0.000242693324740917,14031.108
19,0.159000697191814,-0.000245724680382975,14031.108
20,0.158595124204754,-0.000249335451397159,14031.108
21,0.158442033169165,-0.00025211855030749,14031.108
22,0.158160081924261,-0.000254580186804243,14031.108
23,0.15802571528891,-0.000257164618954309,14031.108
24,0.157801367319195,-0.000259563219393022,14031.108
25,0.157818266354275,-0.000262290296370038,14031.108
26,0.158045607101781,-0.000264823636018208,14031.108
27,0.158277515437035,-0.000266332045635309,14031.108
28,0.158352129141417,-0.000267743958000333,14031.108
29,0.158287829228402,-0.00026996882088437,14031.108
30,0.158427156029379,-0.000271065634837586,14031.108
31,0.158472147455449,-0.000273016353164013,14031.108
32,0.158651408689669,-0.000274961831983167,14031.108
33,0.158556047370253,-0.000276673108540182,14031.108
34,0.158588724510354,-0.000278312605828335,14031.108
35,0.158270625049647,-0.000279661729553626,14031.108
36,0.158389480727788,-0.000281511675355395,14031.108
37,0.158714075307629,-0.000282506616088307,14031.108
38,0.158674834992284,-0.000284061420150694,14031.108
39,0.158965769830419,-0.000284969678387981,14031.108
40,0.159243167724141,-0.000286126802213738,14031.108
41,0.1592727114113,-0.00028701133556952,14031.108
42,0.159112162879571,-0.000288053046746839,14031.108
43,0.159140547896843,-0.000288822792314569,14031.108
44,0.158743897138491,-0.000290324262949171,14031.108
45,0.158946437196655,-0.000291133504764174,14031.108
46,0.159674582111736,-0.000292410419469258,14031.108
47,0.159779261753119,-0.000293107119361258,14031.108
