"epochs","GPMean","GPVariance","runtimeGP"
1,0.153134425897136,0.000584979547088693,11618.548
2,0.150953522981989,0.000446040281102622,11618.548
3,0.152118352166593,0.000367321558331857,11618.548
4,0.152580103507656,0.000325487157583404,11618.548
5,0.153508595626047,0.000290200542224062,11618.548
6,0.153406658867163,0.000261438635946742,11618.548
7,0.153417023326712,0.000236661918344705,11618.548
8,0.154452795715973,0.0002130116897755,11618.548
9,0.154674395978377,0.000184952073404854,11618.548
10,0.153991840649137,0.000174708562861281,11618.548
11,0.154783812379566,0.000164561640157768,11618.548
12,0.155114164391384,0.000156746296251065,11618.548
13,0.154856138023555,0.000147682726498344,11618.548
14,0.155176791337361,0.000139126941925416,11618.548
15,0.155328582806214,0.000125803689949411,11618.548
16,0.155910343245503,0.000117069549211646,11618.548
17,0.15645632328115,0.000103429370317709,11618.548
18,0.157112070938398,9.70104158342089e-05,11618.548
19,0.158118862211783,8.94916906588605e-05,11618.548
20,0.157529323013082,8.39653916751004e-05,11618.548
21,0.156912243766314,7.82544134131369e-05,11618.548
22,0.15662532208174,7.1451651710519e-05,11618.548
23,0.156918085630026,6.59101362598946e-05,11618.548
24,0.156326574567081,6.05335054192357e-05,11618.548
25,0.156267036809909,5.49863575466381e-05,11618.548
26,0.156158273323418,5.14588173891051e-05,11618.548
27,0.156504196467954,4.77370033461488e-05,11618.548
28,0.15683652019497,4.39356426478188e-05,11618.548
29,0.156621991302155,4.04021799498278e-05,11618.548
30,0.15659019315656,3.70951913474249e-05,11618.548
31,0.155688774908246,3.10566763350728e-05,11618.548
32,0.155931318575171,2.80575537724426e-05,11618.548
33,0.156115657874523,2.4729854963601e-05,11618.548
34,0.155971854044142,2.2371309737701e-05,11618.548
35,0.156515200275969,1.89337830761582e-05,11618.548
36,0.156435738729268,1.55960779757436e-05,11618.548
37,0.1564277243108,1.40795033640728e-05,11618.548
38,0.156055678204617,1.15179775629359e-05,11618.548
39,0.156155264552137,9.17779943643282e-06,11618.548
40,0.156330618050221,6.95829042562934e-06,11618.548
41,0.156790263444091,3.1078048626787e-06,11618.548
42,0.157024385722212,9.08262405174831e-07,11618.548
43,0.157120692548069,-1.05470484179637e-06,11618.548
44,0.157248974329189,-2.45119516639747e-06,11618.548
45,0.157497518455993,-4.06080623205352e-06,11618.548
46,0.157639074065777,-6.14171243973338e-06,11618.548
47,0.158559337739758,-8.49776236644395e-06,11618.548
48,0.158038913299609,-9.5900883139155e-06,11618.548
49,0.158149163974666,-1.12910691808521e-05,11618.548
50,0.158392809625476,-1.26989477591266e-05,11618.548
51,0.158322076449386,-1.35943595451771e-05,11618.548
52,0.158274908843397,-1.533787815855e-05,11618.548
53,0.158274160730051,-1.6332165976074e-05,11618.548
54,0.158077929175634,-1.7315247553884e-05,11618.548
55,0.157909062726386,-1.82562068692382e-05,11618.548
56,0.157866410595552,-1.94909123268916e-05,11618.548
57,0.158205696857091,-2.05787821573322e-05,11618.548
58,0.158205426059054,-2.16964330336245e-05,11618.548
59,0.158211492814772,-2.25352126449474e-05,11618.548
60,0.158528480464866,-2.3267182492348e-05,11618.548
61,0.158657102634914,-2.46180605389945e-05,11618.548
62,0.158879314169136,-2.5461209179567e-05,11618.548
63,0.158941417968691,-2.63536101211548e-05,11618.548
64,0.159017325624082,-2.72851461816659e-05,11618.548
65,0.158923425614121,-2.81480549622071e-05,11618.548
66,0.158823700620505,-2.90104399945923e-05,11618.548
67,0.158590882722957,-2.98649143568586e-05,11618.548
68,0.15825297842607,-3.06504406997199e-05,11618.548
69,0.158247449309624,-3.1344978669523e-05,11618.548
70,0.158227505784234,-3.18972425519259e-05,11618.548
71,0.158353644811301,-3.25743115787702e-05,11618.548
72,0.158439886260629,-3.3168928853744e-05,11618.548
73,0.158497680663014,-3.37026482628566e-05,11618.548
74,0.158436569406553,-3.44252812438661e-05,11618.548
75,0.158567847222599,-3.55494133991163e-05,11618.548
76,0.158761053151154,-3.59902679867297e-05,11618.548
77,0.158781648968106,-3.6478829593789e-05,11618.548
78,0.158691613193074,-3.69997034136427e-05,11618.548
79,0.158816625477346,-3.7469037174942e-05,11618.548
80,0.15870005866022,-3.81983257358165e-05,11618.548
81,0.158827300530277,-3.85924889445555e-05,11618.548
82,0.158787707265561,-3.91068906473446e-05,11618.548
83,0.158793986603452,-3.97671469473115e-05,11618.548
84,0.158629241581518,-4.01583990041754e-05,11618.548
85,0.158593510890154,-4.04525257121646e-05,11618.548
86,0.158733449781997,-4.10297384458858e-05,11618.548
87,0.158752562617732,-4.13050194705278e-05,11618.548
88,0.158531936667824,-4.15934067388157e-05,11618.548
89,0.158490036517418,-4.22107166231367e-05,11618.548
90,0.158668098178389,-4.2501682114171e-05,11618.548
91,0.158948004160872,-4.29446545489043e-05,11618.548
92,0.159046074796367,-4.32884804322242e-05,11618.548
93,0.159159666810102,-4.35649280405848e-05,11618.548
94,0.159157161831194,-4.39311585165303e-05,11618.548
95,0.159120140386812,-4.42375469976719e-05,11618.548
