"epochs","GPMean","GPVariance","runtimeGP"
1,2743813102.76101,7444.69250836013,782.42
2,6028019444.41199,-39682.8050662245,782.42
3,5849211829.40197,-65309.2438195666,782.42
4,5942356549.71724,-83657.9544602013,782.42
5,6058301871.72087,-99220.3499949194,782.42
6,3734803288.28001,-112961.965475125,782.42
7,8597949899.89327,-140237.137610732,782.42
8,27385752139.1657,-160096.775155632,782.42
9,35562466362.9895,-178435.259799465,782.42
10,41798503718.4707,-196551.423235634,782.42
11,54383227705.7387,-225484.742483431,782.42
12,46714915167.2921,-242600.958503123,782.42
13,54258462291.3116,-270810.438334493,782.42
14,57100880893.809,-285663.70577578,782.42
15,54398808473.6785,-307928.103270493,782.42
16,58350165560.9157,-323149.598197081,782.42
17,52301090975.2486,-338399.219222946,782.42
18,58368185412.7485,-358851.40931452,782.42
19,56140185616.961,-374981.263193149,782.42
20,58597638240.4021,-396862.219986493,782.42
21,55755248852.9672,-415359.649145953,782.42
22,54535934993.9694,-430793.082409354,782.42
23,58187007232.9162,-458514.482303887,782.42
24,82248076320.3446,-476633.471453175,782.42
25,85796591001.1809,-499422.766343198,782.42
26,87403040240.4785,-522364.23226752,782.42
27,89482616059.3879,-543725.315945892,782.42
28,89867445303.4754,-564492.669995962,782.42
29,91398092932.7698,-586517.081708115,782.42
30,86648326384.86,-607144.584719492,782.42
31,92266747175.4945,-627435.368159865,782.42
32,90288385659.943,-649291.407178615,782.42
33,88596644692.1738,-664498.227833592,782.42
34,88204534853.179,-685138.502656139,782.42
35,90564032188.6797,-708590.135549363,782.42
36,87579569832.6765,-731157.24254603,782.42
37,85350597198.8925,-752130.210594794,782.42
38,82880592865.0639,-770277.388890205,782.42
39,87620780744.7493,-789930.906103364,782.42
40,86616638940.8789,-807581.928011106,782.42
41,85447798692.4838,-827594.911508215,782.42
42,86980287496.2815,-845252.685073268,782.42
43,91121869120.4152,-865473.765434243,782.42
44,91684161107.2359,-886534.929588163,782.42
45,89240647611.5251,-901678.478613213,782.42
46,86236663361.6281,-919209.242208982,782.42
47,85855842080.864,-939403.334390725,782.42
48,85659386075.801,-959180.031635124,782.42
49,90208523273.0055,-979980.043356583,782.42
50,90410873840.4184,-1001884.35083067,782.42
51,114339991159.727,-1022215.0336247,782.42
52,119575733696.062,-1042644.69146787,782.42
53,120857339204.339,-1062377.95187845,782.42
54,124034593520.917,-1081225.4236744,782.42
55,120208201612.611,-1102995.9353476,782.42
56,115785810097.89,-1121485.30526487,782.42
57,114176030916.516,-1141922.38799485,782.42
58,118320820230.754,-1160709.62546915,782.42
59,118511002423.691,-1179300.00240475,782.42
60,121517720769.283,-1202898.77120583,782.42
61,123082689206.987,-1229100.7529118,782.42
62,141730967489.344,-1250593.76245792,782.42
63,172581351893.94,-1271208.51735417,782.42
64,167938300552.575,-1289058.26903695,782.42
65,171507380263.636,-1314539.45363783,782.42
66,175362414322.192,-1331943.58817024,782.42
67,194956859026.219,-1351630.41855298,782.42
68,196081544648.064,-1370988.95749065,782.42
69,209507926934.882,-1389015.61937331,782.42
70,205598314414.703,-1407831.7709904,782.42
71,210606769767.956,-1425196.98283263,782.42
72,210707017614.022,-1444738.04289633,782.42
73,211860509900.864,-1462615.15097414,782.42
74,212895634220.652,-1486719.65449966,782.42
75,212467980856.519,-1505858.09296106,782.42
76,217563473142.016,-1527500.83397333,782.42
77,223554974597.333,-1546597.35138382,782.42
78,222785848156.302,-1564219.89925101,782.42
79,223266573906.845,-1581187.48713426,782.42
80,222941518293.216,-1603222.4352572,782.42
81,226464676106.025,-1622900.25020834,782.42
82,225830923211.618,-1641925.82729497,782.42
83,221136931370.556,-1661454.74118308,782.42
84,225091270239.804,-1683175.55166962,782.42
85,229527065037.626,-1707860.62299166,782.42
86,234473478745.813,-1724901.86549156,782.42
87,238727367539.034,-1747442.7592068,782.42
88,233403348798.221,-1767203.24217038,782.42
89,229897134023.178,-1788516.5550557,782.42
90,225390653586.549,-1808150.65858566,782.42
91,229894891974.992,-1831009.06520637,782.42
92,227917670384.434,-1851002.02330581,782.42
93,227181852242.085,-1869999.94327741,782.42
94,255481035331.05,-1890237.76982863,782.42
95,256993679795.161,-1915427.38952429,782.42
96,256055993604.244,-1935741.76098394,782.42
97,255286313983.921,-1953857.29174712,782.42
98,258874103270.185,-1979490.56117333,782.42
99,264171952383.809,-2001870.69670609,782.42
100,261575406582.243,-2022459.19320141,782.42
101,281680729345.515,-2042661.93629808,782.42
102,281530116277.486,-2062221.30133677,782.42
103,279853002269.696,-2081100.7942815,782.42
104,285118480766.732,-2099904.10892906,782.42
105,298045488168.928,-2120097.85240894,782.42
106,303850491563.928,-2141131.79551238,782.42
107,321625576034.738,-2161167.45130676,782.42
108,324199110951.598,-2182404.19012743,782.42
109,323295648871.138,-2202150.01779971,782.42
110,328132472492.594,-2224063.88788466,782.42
111,324555729705.321,-2244202.72484831,782.42
112,324503084955.139,-2266738.53933345,782.42
113,325929527308.728,-2286814.63602123,782.42
114,327661784402.308,-2307291.74273925,782.42
115,327120900873.395,-2327179.24157049,782.42
116,324188265632.751,-2346426.77141586,782.42
117,329375263571.221,-2363948.07649863,782.42
118,328323275813.195,-2384570.68529521,782.42
119,326857930727.791,-2404859.35132441,782.42
120,328127907133.154,-2422891.45991742,782.42
121,331180039768.929,-2448893.33564664,782.42
122,333620632167.718,-2473828.97911758,782.42
123,333488161937.957,-2493661.90945821,782.42
124,328055427401.517,-2512618.01035286,782.42
125,327541161375.639,-2531984.74000457,782.42
126,330718025826.067,-2548980.48184572,782.42
127,334509068163.026,-2570192.0378991,782.42
128,335283425408.209,-2587284.04255875,782.42
129,357270557229.49,-2607936.09678776,782.42
130,362795666912.64,-2626918.05937657,782.42
131,362594810376.821,-2650799.66324019,782.42
132,366028527798.566,-2675352.12500034,782.42
133,360542081686.609,-2694150.36297483,782.42
