"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual","runtimeBART","runtimeMI","runtimeGP"
1,9.87080707076311e-07,1.38048910570352e-07,9.227304389909e-07,NA,8.09680652968936e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
2,1.00948626415306e-06,1.42948527299967e-07,1.6095521971477e-07,1.64728091151602e-07,8.08735675428274e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
3,1.02555236887442e-06,1.36693625212818e-07,3.94231738453708e-07,4.83686285803249e-07,8.23280675021909e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
4,9.80711542756518e-07,1.40535682966456e-07,1.34082374714633e-07,7.21644191122286e-08,8.068529850358e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
5,9.95589631245342e-07,1.39145905863286e-07,1.76215433148227e-07,1.78937629866159e-07,8.06652839534065e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
6,9.99610570306844e-07,1.58609666913612e-07,1.53179411921046e-06,2.96541683919164e-06,8.39324158063981e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
7,9.83941966992684e-07,1.46642998241992e-07,1.77304967328094e-06,2.87081209764388e-06,8.3638653142204e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
8,9.62283698980576e-07,1.19644524181853e-07,3.27654332837361e-07,2.78270886530541e-07,8.22152633195294e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
9,9.59364994681861e-07,1.32852279238336e-07,1.74547976813256e-06,2.54870282394937e-06,8.17587345158799e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
10,9.79680621452728e-07,1.35895458335475e-07,3.66300512220868e-07,4.5550298949938e-07,8.19889566530674e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
11,1.00979597669864e-06,1.31957487888078e-07,1.19802001406031e-06,1.94078040053714e-06,8.24291425893797e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
12,9.77687332518193e-07,1.42068492909119e-07,5.7418005952231e-07,7.10078634134053e-07,8.26602686701539e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
13,9.61600612947869e-07,1.53793737035167e-07,2.03828251157082e-06,3.7185748468212e-06,8.3630666397605e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
14,9.81657474119406e-07,1.5180957640989e-07,9.30286152905981e-07,1.49729388963208e-06,8.41204436857756e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
15,9.74172390937971e-07,1.26321619283967e-07,7.06078203440557e-07,1.12112750223508e-06,8.49115846468518e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
16,1.0141868061267e-06,1.33494637290131e-07,1.45013203667341e-05,5.68161649101555e-05,8.47986612588503e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
17,1.03969808222191e-06,1.37253837877931e-07,2.8845051032532e-07,3.4818232366836e-07,8.54318262966114e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
18,1.02114330697717e-06,1.31315623798292e-07,1.43864945413843e-06,3.91129008618043e-06,8.55848346054122e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
19,1.02719278504357e-06,1.21350940392502e-07,2.04686340752943e-06,6.30347488046511e-06,8.62604727980276e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
20,1.02389567973831e-06,1.15074320866414e-07,8.53104703307045e-06,2.51188001467644e-05,8.61524009271308e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
21,9.89762305833026e-07,1.61702563670208e-07,5.68459286418816e-07,8.30861834716602e-07,8.83799626594239e-07,NA,1.20030941858244e-06,6986.868,0.118000000000393,3164.18
