"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual","runtimeBART","runtimeMI","runtimeGP"
1,1.1516993294522e-05,3.70177115769994e-07,6.5927308716137e-07,NA,1.05126611344986e-05,0.000616658229790631,8.71383757406762e-05,22.617,0.0109999999999992,2.642
2,1.18222250680249e-05,3.52670172302188e-07,0.000150844520129245,5.32745095958141e-05,1.04360624177957e-05,0.000616584635779664,8.71383757406762e-05,22.617,0.0109999999999992,2.642
3,1.15184593471225e-05,3.00967126852349e-07,4.42879929254729e-06,4.01235112986708e-06,1.04746699696179e-05,0.000616519327036841,8.71383757406762e-05,22.617,0.0109999999999992,2.642
