"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual","runtimeBART","runtimeMI","runtimeGP"
1,2.4014239969217e-06,2.28980026258579e-07,1.09989378239617e-06,NA,2.39844945766362e-06,0.789446219724473,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
2,2.37372143198349e-06,2.30267578371686e-07,3.41860802298546e-07,5.49157787336993e-08,2.30809480425993e-06,0.789571991956692,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
3,2.36872136381408e-06,1.95517690236404e-07,6.43413992430274e-07,4.86870579458353e-07,2.53799963245156e-06,0.78962102717321,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
4,2.3701345713499e-06,1.95285310732255e-07,1.20490522668942e-06,9.97143624330496e-07,2.68843871491302e-06,0.789660883426205,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
5,2.35895001495276e-06,1.92038316797587e-07,3.12513973644294e-07,1.80533032798928e-07,2.71092104881711e-06,0.789671658144321,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
6,2.32483611248386e-06,2.36679897197638e-07,5.19824916633814e-06,6.65378867852728e-06,2.44734983399993e-06,0.789676797411118,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
7,2.47245446476897e-06,2.31169338641079e-07,1.25802957509791e-06,1.12998196974103e-06,2.43379718813653e-06,0.78968045915828,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
8,2.42922738810308e-06,2.23701175045477e-07,6.24280472006734e-06,1.52847624427898e-05,2.44210549779635e-06,0.789680943466309,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
9,2.45578845246686e-06,2.35159954410553e-07,1.62721021403906e-06,1.87450753307964e-06,2.41158423548274e-06,0.789681377712053,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
10,2.43282270324635e-06,2.40343345041653e-07,1.5237549033397e-06,2.18973298000095e-06,2.48457052649025e-06,0.789681881422401,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
11,2.64040443843783e-06,2.34693501157238e-07,1.18994641608303e-06,1.22022717747793e-06,2.50617900955361e-06,0.789682221931526,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
12,2.63369200587131e-06,2.88180397857068e-07,3.41345353008115e-06,6.1025734094221e-06,2.52732476234558e-06,0.789682823988206,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
13,2.68620569037233e-06,2.93016289177684e-07,1.66370930146937e-06,4.22837634375253e-06,2.90724479019066e-06,0.789683106336392,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
14,2.65225787200233e-06,2.34919826820314e-07,6.77548596419116e-06,1.03458043158047e-05,3.0120781923673e-06,0.789683205492582,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
15,2.63123826462625e-06,2.69355427984134e-07,6.41238943660919e-06,1.9676201341159e-05,3.02090537343542e-06,0.789683251087549,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
16,2.64983555612228e-06,2.82512624966642e-07,2.36294601296738e-06,4.14081518276649e-06,3.07574561958632e-06,0.789683273815815,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
17,2.64999845074495e-06,2.76267946319518e-07,9.36171535336152e-07,8.10389277422017e-07,3.0342434982509e-06,0.789683311993704,1.40036304556026e-05,917.994,0.0199999999999818,0.000999999999976353
