"","AGE","EDUCATION","SEX","DISABILITY","INSURANCE","CHILD","RACE","INCOME"
"3415",37,21,1,2,1,0,1,98000
"2557",15,12,1,2,1,1,1,2000
"441",60,20,1,1,1,0,1,146000
"186",66,20,2,1,1,0,1,2600
"2008",32,20,2,2,1,0,6,17000
"3636",48,21,2,1,1,0,1,10800
"2350",47,16,2,2,2,0,1,0
"2010",45,21,2,2,1,0,1,100000
"776",31,17,1,2,1,0,1,45000
"529",70,20,2,2,1,0,1,24310
"987",58,22,2,2,1,0,1,56000
"4348",47,22,1,2,1,0,1,62000
"2474",47,22,1,2,1,0,1,70000
"4380",17,14,2,2,2,1,3,1100
"3610",74,16,2,1,1,0,1,12000
"585",63,16,2,2,2,0,1,8510
"4087",21,19,2,2,1,0,1,15000
"2703",44,16,1,2,1,0,1,146000
"3614",42,16,1,2,2,0,1,49000
"4220",18,18,1,2,2,0,1,10000
"2639",31,16,1,2,1,0,1,75000
"3207",50,11,1,2,1,0,8,90000
"255",62,19,2,1,1,0,1,3750
"1495",39,20,2,2,1,0,1,60000
"3461",29,21,1,2,1,0,1,65000
"292",64,18,1,2,1,0,1,35100
"2755",61,22,2,2,1,0,1,60000
"1105",17,14,2,2,1,1,6,2970
"378",56,16,1,2,1,0,1,80000
"692",28,22,2,2,1,0,1,9700
"1483",58,17,2,2,2,0,1,30000
"3208",46,16,2,2,1,0,1,24000
"2921",23,19,2,2,1,0,1,10000
"2678",46,16,2,1,1,0,1,0
"642",16,12,2,2,1,0,1,4500
"3052",78,18,2,2,1,0,1,8020
"2109",75,22,1,1,1,0,1,3000
"873",79,21,1,1,1,0,1,62500
"2309",42,16,1,1,1,0,9,8200
"3280",63,16,2,2,1,0,1,17200
"478",82,13,2,2,1,0,1,19700
"121",25,17,2,2,1,0,1,7000
"4194",36,14,1,2,2,0,1,2000
"475",31,16,1,2,2,0,1,80000
"765",55,18,1,1,1,0,1,0
"821",27,16,2,2,1,0,1,35800
"1957",44,21,2,2,1,0,1,30800
"747",55,19,1,2,1,0,1,60000
"1696",27,21,1,2,1,0,1,48000
"1482",62,18,1,1,1,0,1,26000
"694",27,12,2,2,1,0,1,50700
"389",62,21,1,2,1,0,1,90000
"1793",63,18,1,2,1,0,6,79000
"3162",29,16,1,2,2,0,3,1200
"17",44,20,1,1,1,0,1,64000
"2414",63,18,2,2,1,0,1,26010
"3327",77,21,2,1,1,0,1,6000
"2025",93,11,2,1,1,0,1,13200
"1574",53,18,1,1,1,0,1,75000
"3749",57,19,1,2,1,0,1,95100
"4307",55,16,1,2,1,0,1,40000
"1295",66,21,1,1,1,0,1,72000
"1289",72,17,1,2,1,0,1,25700
"4011",49,20,1,2,1,0,1,77000
"4373",35,16,2,2,1,0,1,1100
"2298",82,15,2,2,1,0,1,9800
"2412",64,20,1,2,1,0,1,0
"616",15,11,1,2,1,1,1,600
"3302",79,19,2,2,1,0,1,28400
"3785",19,15,1,2,1,0,1,22000
"2498",34,16,2,1,1,0,1,3600
"3411",30,18,2,2,1,0,1,4600
"317",47,22,2,2,1,0,1,80000
"4285",39,21,1,2,1,0,1,77000
"2195",37,18,1,2,1,0,1,20000
"2544",67,16,1,2,1,0,1,59000
"2588",21,20,1,2,1,0,9,6300
"4437",22,19,2,2,2,0,1,0
"3695",55,17,1,2,2,0,1,16000
"1550",65,20,2,1,1,0,1,8400
"450",16,14,2,2,1,1,1,0
"4083",53,18,2,2,1,0,1,20000
"952",50,17,2,2,1,0,1,0
"1570",59,12,1,1,1,0,1,17700
"1127",49,21,2,2,1,0,1,0
"3417",71,18,1,2,1,0,1,25000
"946",70,6,1,1,1,0,1,10900
"3519",67,21,2,1,1,0,1,18000
"893",93,16,2,1,1,0,1,14500
"3021",20,19,1,2,1,0,1,5000
"2399",45,21,2,2,1,0,1,60000
"4250",63,21,2,2,1,0,1,72900
"3491",67,21,2,2,1,0,1,700
"1322",45,22,2,2,1,0,1,39100
"201",63,21,2,2,1,0,1,27600
"825",19,19,1,2,1,0,1,13700
"2999",65,16,1,1,1,0,1,49360
"719",69,21,2,2,1,0,1,0
"1238",76,16,2,2,1,0,6,17500
"1331",53,19,2,2,1,0,3,27000
"2071",38,16,2,2,1,0,1,0
"1913",52,15,2,2,1,0,1,27500
"2312",70,22,2,2,1,0,1,30000
"4002",60,19,2,1,1,0,1,9200
"1364",59,21,1,2,1,0,1,100000
"1953",40,19,2,2,1,0,1,32400
"4131",56,16,2,2,1,0,1,112000
"2718",80,12,2,2,1,0,3,4200
"1",19,18,1,2,1,0,1,5000
"3662",39,22,1,2,1,0,2,101000
"1740",66,22,1,2,1,0,1,40000
"2984",36,13,1,2,1,0,3,14310
"985",53,22,2,2,1,0,1,63000
"2353",29,19,2,2,1,0,1,40000
"3879",57,15,1,2,1,0,1,17000
"2456",50,20,1,2,1,0,9,45000
"3309",78,15,2,1,1,0,1,12000
"1327",45,16,1,2,1,0,1,16000
"2246",55,21,2,1,1,0,1,32000
"2005",70,19,2,2,1,0,1,27000
"164",16,13,1,2,1,1,1,0
"3256",15,13,1,2,1,1,1,0
"3761",63,18,1,1,1,0,1,115400
"3550",33,21,2,2,1,0,1,44000
"4058",24,14,2,2,1,0,1,33000
"1741",53,17,2,2,2,0,1,1000
"1274",43,18,1,2,1,0,1,80000
"2714",48,22,2,2,1,0,1,46000
"345",29,21,1,2,1,0,1,2400
"3702",76,21,2,2,1,0,1,41300
"1267",54,20,2,2,1,0,1,66000
"3435",59,20,2,2,1,0,3,0
"519",58,24,1,2,1,0,1,20000
"269",63,18,2,2,1,0,2,42500
"4412",19,14,1,2,1,0,1,4000
"707",56,16,1,2,1,0,1,20000
"5",15,11,1,2,1,1,1,0
"3836",37,22,1,2,1,0,1,60000
"1928",32,20,2,2,1,0,1,50000
"2657",42,21,1,2,1,0,1,48100
"1791",60,16,1,2,1,0,1,75000
"1301",16,12,2,2,1,1,3,0
"4311",61,16,1,1,1,0,1,15400
"1147",56,17,1,1,2,0,1,110000
"1285",48,19,2,2,1,0,1,54000
"2388",33,21,1,2,1,0,1,51000
"1161",46,21,2,2,2,0,1,22900
"2563",44,18,2,1,1,0,1,9000
"2851",33,16,1,2,2,0,1,3500
"4070",79,19,2,2,1,0,1,27600
"2296",72,16,2,1,1,0,1,6000
"1767",54,21,2,2,1,0,1,50000
"396",93,20,2,1,1,0,1,25100
"2909",35,20,2,2,1,0,1,23000
"1059",44,19,2,2,1,0,1,57500
"2451",77,21,2,2,1,0,1,15800
"592",93,12,2,1,1,0,1,22800
"3843",58,16,1,2,1,0,1,0
"133",53,16,2,1,1,0,1,78000
"3605",28,21,2,2,1,0,1,38500
"2510",26,20,2,2,1,0,1,8000
"1102",43,21,2,2,1,0,1,91000
"1113",15,12,2,2,1,1,1,0
"3898",22,20,1,2,1,0,1,7000
"4416",50,16,2,2,1,0,1,62000
"2795",70,19,2,2,1,0,1,14800
"2548",61,16,2,2,1,0,1,21000
"2278",56,20,2,2,1,0,1,20000
"3595",75,22,1,2,1,0,1,30700
"1185",74,20,2,2,1,0,1,54300
"915",46,21,1,2,1,0,1,100000
"3822",73,20,1,1,1,0,1,68000
"2111",62,19,2,1,1,0,1,9600
"684",69,19,2,2,1,0,1,13020
"1107",68,20,1,2,1,0,1,42200
"329",34,16,1,2,1,0,1,45000
"851",51,16,2,2,1,0,1,78000
"628",54,20,1,2,1,0,1,25500
"1614",37,18,2,2,1,0,1,213000
"4069",46,19,2,2,1,0,1,35400
"2351",27,17,2,2,2,0,1,8000
"841",41,17,1,2,1,0,1,18000
"4018",26,21,2,2,1,0,1,9700
"4396",85,21,1,2,1,0,1,96200
"2473",42,22,2,2,1,0,1,41000
"2077",23,16,2,2,1,0,1,30000
"2671",61,21,2,2,1,0,1,189000
"940",60,20,2,2,2,0,1,10900
"907",76,22,2,2,1,0,1,17300
"562",16,13,2,2,1,0,8,0
"31",70,21,1,2,1,0,1,136000
"3592",24,16,2,2,2,0,1,20900
"1450",44,6,1,2,2,0,1,12000
"3474",37,19,1,2,1,0,1,21000
"3517",39,18,2,1,1,0,1,85000
"3712",18,18,2,1,2,0,1,0
"4329",59,16,2,2,1,0,1,0
"666",30,21,1,2,1,0,1,20000
"2923",65,19,1,2,1,0,1,46100
"2928",19,19,1,2,1,0,3,28600
"3421",38,18,2,1,1,0,1,9000
"913",33,21,2,2,1,0,1,40000
"120",18,14,1,2,1,0,1,0
"3929",53,19,1,2,1,0,1,48000
"1942",55,13,1,2,1,0,1,8400
"1302",23,21,2,2,1,0,1,55000
"3770",60,21,2,2,1,0,1,194000
"2408",16,12,1,2,1,1,3,3000
"4440",60,20,2,1,1,0,1,48000
"4273",47,23,1,2,1,0,1,100000
"4346",63,1,2,1,1,0,1,11200
"3617",70,16,2,2,1,0,3,36600
"3505",38,20,1,2,1,0,1,59000
"766",34,16,2,2,1,0,1,4000
"3269",63,21,1,2,1,0,1,104000
"3892",54,21,1,1,1,0,1,24000
"3232",33,17,1,2,2,0,1,7000
"413",63,20,2,2,1,0,1,52120
"800",26,20,2,2,1,0,1,44100
"3824",55,19,1,2,1,0,1,10000
"1122",21,16,1,2,2,0,1,28000
"2438",26,12,1,2,2,0,1,39400
"352",42,19,2,2,2,0,1,37200
"4195",45,21,2,2,1,0,1,50000
"4182",48,21,1,2,1,0,1,61000
"1211",25,17,1,2,1,0,3,0
"3209",20,15,2,1,1,0,8,5900
"1019",62,19,1,2,1,0,1,18000
"2600",42,21,1,1,1,0,1,52000
"894",76,21,2,2,1,0,1,24000
"3927",63,17,2,1,1,0,1,34000
"3794",35,21,2,2,1,0,1,45000
"3307",29,16,2,2,1,0,1,24700
"4401",57,20,1,2,1,0,1,30000
"3301",70,20,1,2,1,0,1,19000
"3816",20,16,2,2,1,0,3,1200
"3288",59,22,1,2,1,0,1,63200
"324",70,20,2,2,1,0,1,8400
"2736",39,16,1,2,2,0,1,10000
"891",80,19,1,2,1,0,1,24600
"2870",46,19,1,2,1,0,1,5000
"11",55,16,1,2,1,0,1,125000
"2375",29,16,1,2,1,0,1,38000
"479",69,23,2,2,1,0,1,14400
"4233",70,21,2,2,1,0,1,12000
"3033",17,14,2,2,1,1,1,0
"912",34,21,1,2,1,0,1,166000
"1104",19,14,1,1,1,0,6,5600
"361",44,21,2,2,1,0,1,0
"4066",42,20,1,2,1,0,1,77000
"2001",54,17,2,2,1,0,1,38400
"1428",29,16,1,2,1,0,1,79000
"3399",62,18,2,1,1,0,1,45000
"777",31,17,2,2,1,0,1,16000
"2308",75,18,1,2,1,0,1,43800
"4047",46,14,1,2,1,0,1,86000
"914",49,23,2,2,1,0,1,131500
"138",63,16,1,2,1,0,1,80000
"1801",86,11,1,1,1,0,1,202400
"1282",59,16,1,2,1,0,9,62000
"3858",63,1,2,2,1,0,1,36000
"2097",49,17,1,2,1,0,1,55000
"1157",17,14,1,2,1,1,3,500
"2552",72,16,2,2,1,0,1,9400
"1500",17,14,1,2,2,1,3,18500
"47",15,12,1,2,2,1,1,0
"973",28,21,1,2,1,0,1,6000
"2835",32,21,2,2,1,0,1,51400
