"","AGE","EDUCATION","SEX","DISABILITY","INSURANCE","CHILD","RACE","INCOME"
"159",24,19,1,2,1,0,1,8000
"160",61,16,2,2,1,0,9,43000
"161",59,16,1,2,1,0,1,48000
"162",54,16,1,2,1,0,1,35000
"163",17,14,1,2,1,1,1,0
"164",16,13,1,2,1,1,1,0
"165",32,21,1,2,1,0,1,69000
"166",85,16,2,2,1,0,1,36500
"167",93,19,2,1,1,0,1,36200
"168",84,16,2,1,1,0,1,31900
"169",64,16,2,2,1,0,1,45340
"170",60,19,1,2,1,0,1,63220
"171",61,21,2,2,1,0,1,36000
"172",24,21,2,2,1,0,1,28000
"173",52,21,1,2,1,0,1,61000
"174",52,22,2,2,1,0,1,85000
"175",59,16,2,2,1,0,1,25000
"176",38,20,1,2,1,0,1,107800
"177",33,19,2,2,1,0,1,20000
"178",16,14,1,2,1,1,1,0
"179",68,20,1,1,1,0,1,52000
"180",73,18,2,1,1,0,1,10800
"181",68,16,1,1,1,0,1,15600
"182",59,16,2,2,1,0,1,27400
"183",27,22,2,2,1,0,1,44500
"184",29,22,1,2,1,0,1,50000
"185",55,20,2,2,1,0,1,33000
"186",66,20,2,1,1,0,1,2600
"187",74,18,1,1,1,0,1,28200
"188",32,18,1,2,1,0,1,60000
"189",28,19,2,2,1,0,1,20000
"190",75,16,2,2,1,0,1,42930
"191",29,19,2,2,1,0,1,1100
"192",30,17,1,2,1,0,1,63000
"193",22,19,1,2,1,0,1,25000
"194",26,15,1,2,1,0,1,209500
"195",26,19,1,2,1,0,1,9000
"196",62,20,1,2,2,0,1,4800
"197",60,15,2,2,2,0,1,0
"198",74,12,1,1,1,0,1,8000
"199",71,21,1,2,1,0,1,36300
"200",71,21,2,2,1,0,1,19300
"201",63,21,2,2,1,0,1,27600
"202",53,19,1,2,1,0,1,124000
"203",30,21,2,2,1,0,1,52000
"204",34,21,1,2,1,0,1,52000
"205",54,16,1,2,1,0,1,65000
"206",58,17,2,2,1,0,1,0
"207",45,16,1,2,1,0,1,98000
"208",37,12,2,2,1,0,1,0
"209",86,16,1,1,1,0,1,2700
"210",68,16,1,1,1,0,1,18000
"211",69,21,2,2,1,0,1,50200
"212",66,22,2,2,1,0,1,82000
"213",33,21,1,2,1,0,1,35300
"214",71,21,1,2,1,0,1,48020
"215",64,20,2,2,1,0,1,12440
"216",60,20,1,2,1,0,1,94800
"217",60,19,2,2,1,0,1,33300
"218",38,22,2,2,1,0,1,27700
"219",39,21,1,2,1,0,1,87000
"220",72,18,1,1,1,0,1,38600
"221",71,16,2,1,1,0,1,10000
"222",63,23,2,2,1,0,1,54000
"223",70,23,1,2,1,0,1,64000
"224",30,22,1,2,1,0,1,0
"225",27,16,1,1,1,0,9,26000
"226",46,21,2,2,1,0,1,44000
"227",46,20,1,2,1,0,1,38600
"228",18,14,1,2,1,0,1,4000
"229",15,11,2,2,1,1,1,0
"230",45,17,1,2,1,0,1,55000
"231",43,17,2,2,2,0,1,41000
"232",39,22,2,2,1,0,1,56000
"233",35,21,1,1,1,0,1,60000
"234",36,21,2,2,1,0,1,40000
"235",35,19,1,2,1,0,1,75000
"236",41,19,2,2,1,0,1,39200
"237",38,16,2,2,2,0,3,39000
"238",17,13,1,2,1,1,3,600
"239",15,12,1,2,1,1,3,500
"240",58,16,1,2,1,0,1,8800
"241",72,22,2,2,1,0,1,37300
"242",65,19,1,2,1,0,1,20000
"243",60,19,2,2,1,0,1,98060
"244",66,23,1,2,1,0,1,100000
"245",56,20,1,2,1,0,1,36000
"246",39,17,2,2,1,0,1,36000
"247",43,19,1,2,1,0,1,21000
"248",57,16,2,1,1,0,1,27500
"249",65,16,1,2,1,0,1,95000
"250",60,20,2,2,1,0,1,25000
"251",71,21,1,1,1,0,1,95000
"252",71,18,2,1,1,0,1,11220
"253",47,21,1,2,1,0,1,12040
"254",44,22,2,2,1,0,1,60000
"255",62,19,2,1,1,0,1,3750
"256",64,16,1,1,1,0,1,13560
"257",44,21,2,2,1,0,1,28800
"258",43,16,1,1,1,0,1,106000
"259",15,11,1,2,1,1,1,0
"260",67,19,1,1,1,0,1,49100
"261",30,17,1,2,1,0,1,52000
"262",32,16,2,2,1,0,1,30000
"263",39,19,1,2,1,0,1,24000
"264",62,20,1,2,2,0,1,58000
"265",29,16,2,2,2,0,1,25000
"266",34,16,1,2,2,0,1,25000
"267",45,21,1,2,1,0,1,125000
"268",16,13,2,2,1,1,1,1500
"269",63,18,2,2,1,0,2,42500
"270",53,16,1,2,1,0,1,50000
"271",55,17,2,2,1,0,1,120000
"272",66,16,2,1,1,0,1,35000
"273",66,16,1,2,1,0,1,35000
"274",60,20,1,2,1,0,3,42220
"275",44,16,1,2,2,0,1,55000
"276",20,19,1,2,2,0,1,10000
"277",23,19,1,1,1,0,1,54070
"278",55,14,2,2,2,0,1,27400
"279",58,12,1,2,2,0,1,24000
"280",54,23,2,2,1,0,1,0
"281",51,16,1,2,2,0,1,13000
"282",61,16,1,1,1,0,1,2500
"283",41,21,1,2,1,0,1,54000
"284",39,22,2,2,1,0,1,500
"285",76,18,1,2,1,0,1,42820
"286",66,21,2,2,1,0,1,30000
"287",70,21,1,1,1,0,1,141800
"288",47,18,2,2,1,0,1,27300
"289",19,16,1,2,1,0,1,3180
"290",38,19,2,2,2,0,1,0
"291",17,19,2,1,2,0,1,0
"292",64,18,1,2,1,0,1,35100
"293",52,24,2,2,1,0,1,120000
"294",77,22,1,2,1,0,1,79200
"295",76,22,2,1,1,0,1,13200
"296",37,19,1,2,1,0,1,128000
"297",36,16,2,1,1,0,1,7000
"298",62,16,1,2,1,0,1,73000
"299",56,11,2,1,1,0,1,0
"300",51,21,1,1,1,0,2,86800
"301",40,19,2,2,1,0,1,33900
"302",45,16,1,2,1,0,1,460000
"303",16,14,2,2,1,0,1,0
"304",39,19,1,1,1,0,1,44000
"305",74,19,2,2,1,0,1,207800
"306",23,21,2,2,1,0,1,22000
"307",60,21,2,2,1,0,1,283000
"308",81,18,2,1,1,0,1,19200
"309",53,22,2,1,1,0,1,75000
"310",18,14,2,2,1,0,1,1500
"311",83,22,1,2,1,0,1,68000
"312",66,19,2,2,1,0,1,76200
"313",67,16,1,2,1,0,1,39410
"314",60,16,2,2,1,0,1,17110
"315",52,16,1,2,1,0,1,21200
"316",54,16,2,2,1,0,1,105000
"317",47,22,2,2,1,0,1,80000
"318",37,19,1,2,1,0,1,24000
"319",34,14,2,2,1,0,1,7000
"320",84,22,1,2,1,0,1,56400
"321",64,21,2,2,1,0,1,84500
"322",18,16,1,2,1,0,1,380
"323",69,19,1,1,1,0,1,224800
"324",70,20,2,2,1,0,1,8400
"325",67,22,2,2,1,0,1,11000
"326",24,13,1,2,1,0,8,48000
"327",20,16,2,2,1,0,1,11100
"328",88,16,2,1,1,0,1,4400
"329",34,16,1,2,1,0,1,45000
"330",57,17,1,2,2,0,1,0
"331",64,18,1,2,1,0,2,87000
"332",74,18,1,1,1,0,1,24000
"333",77,19,1,2,1,0,1,61200
"334",78,20,2,2,1,0,1,54400
"335",68,19,2,2,1,0,1,21600
"336",68,22,1,2,1,0,1,237400
"337",53,16,2,2,1,0,1,48000
"338",79,19,2,1,1,0,1,37210
"339",34,19,2,2,1,0,3,36600
"340",47,19,2,2,2,0,1,23400
"341",17,14,1,2,1,1,1,0
"342",15,12,1,2,1,1,1,0
"343",76,22,1,1,1,0,1,26500
"344",24,19,1,1,1,0,1,10000
"345",29,21,1,2,1,0,1,2400
"346",45,16,1,2,1,0,1,38000
"347",63,19,2,2,1,0,3,60540
"348",66,20,1,2,1,0,3,41250
"349",33,21,1,2,2,0,3,40450
"350",23,19,1,2,1,0,3,30450
"351",22,18,2,2,2,0,3,900
"352",42,19,2,2,2,0,1,37200
"353",36,19,1,2,1,0,3,48800
"354",30,22,1,2,1,0,1,540000
"355",37,20,1,2,1,0,1,40000
"356",55,18,2,2,1,0,1,30000
"357",58,16,1,1,1,0,1,36000
"358",87,16,2,1,1,0,1,13100
"359",56,24,1,2,1,0,1,121400
"360",46,24,1,2,1,0,1,106000
"361",44,21,2,2,1,0,1,0
"362",68,16,1,2,1,0,1,22600
"363",65,19,2,2,1,0,1,43200
"364",55,20,1,2,1,0,1,15600
"365",64,16,1,1,1,0,5,40000
"366",63,24,2,2,1,0,5,30000
"367",31,22,1,2,1,0,1,66000
"368",31,19,2,2,1,0,1,8000
"369",32,17,2,1,1,0,1,14100
"370",52,22,1,2,1,0,1,80000
"371",18,14,1,2,2,0,1,1000
"372",34,16,1,2,1,0,1,45000
"373",33,14,2,2,1,0,1,5000
"374",93,19,2,1,1,0,1,35600
"375",34,19,1,2,2,0,1,89800
"376",38,17,2,1,2,0,1,7000
"377",52,18,2,2,1,0,1,0
"378",56,16,1,2,1,0,1,80000
"379",23,19,2,2,1,0,1,0
"380",59,17,1,2,1,0,1,70000
"381",58,17,2,2,1,0,1,0
"382",93,13,2,1,1,0,1,19900
"383",54,18,1,2,1,0,1,62000
"384",52,20,2,2,1,0,6,30000
"385",44,19,2,2,1,0,1,31600
"386",46,16,1,2,1,0,1,62000
"387",18,14,1,2,2,0,1,17100
"388",33,16,2,2,1,0,1,24100
"389",62,21,1,2,1,0,1,90000
"390",50,16,1,2,1,0,1,50000
"391",35,21,2,2,1,0,1,20000
"392",48,18,1,2,1,0,1,106000
"393",46,21,2,2,1,0,1,111000
"394",36,16,2,2,1,0,1,56000
"395",35,17,1,2,1,0,1,36000
"396",93,20,2,1,1,0,1,25100
"397",25,19,2,2,1,0,1,30900
"398",28,16,1,2,1,0,1,65000
"399",93,24,1,1,1,0,1,110300
"400",37,20,2,2,1,0,6,5200
"401",51,19,2,2,1,0,1,400
"402",85,19,2,2,1,0,1,0
"403",62,19,1,2,2,0,1,96000
"404",60,19,2,2,2,0,1,0
"405",39,20,1,2,1,0,1,37000
"406",34,19,1,2,1,0,1,35000
"407",46,15,1,1,1,0,1,150000
"408",43,16,2,2,1,0,1,0
"409",17,14,2,2,1,1,1,5000
"410",56,17,1,1,1,0,1,82000
"411",56,17,2,2,1,0,1,11000
