"","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"146","1","2","16","2","1","0","9",43000
"147","1","1","16","2","1","0","1",48000.0000000001
"148","1","1","16","2","1","0","1",34999.9999999999
"149","1","1","21","2","1","0","1",69000.0000000001
"150","6","2","16","2","1","0","1",36500
"151","6","2","19","1","1","0","1",36199.9999999999
"152","6","2","16","1","1","0","1",31900
"153","1","2","16","2","1","0","1",45340.0000000001
"154","1","1","19","2","1","0","1",63220
"155","1","2","21","2","1","0","1",36000
"156","1","2","21","2","1","0","1",28000
"157","1","1","21","2","1","0","1",60999.9999999999
"158","1","2","22","2","1","0","1",85000.0000000001
"159","6","2","16","2","1","0","1",25000
"160","1","1","20","2","1","0","1",107800
"161","1","2","19","2","1","0","1",20000
"162","6","1","20","1","1","0","1",52000.0000000001
"163","6","2","18","1","1","0","1",10800
"164","1","1","16","1","1","0","1",15600
"165","1","2","16","2","1","0","1",27399.9999999999
"166","1","2","22","2","1","0","1",44500
"167","1","1","22","2","1","0","1",50000
"168","1","2","20","2","1","0","1",32999.9999999999
"169","6","2","20","1","1","0","1",2600
"170","6","1","18","1","1","0","1",28200.0000000001
"171","1","1","18","2","1","0","1",59999.9999999999
"172","1","2","19","2","1","0","1",20000
"173","6","2","16","2","1","0","1",42929.9999999999
"174","1","2","19","2","1","0","1",1100
"175","1","1","17","2","1","0","1",63000
"176","1","1","19","2","1","0","1",25000
"177","6","1","15","2","1","0","1",209500
"178","1","1","19","2","1","0","1",9000
"179","3","1","20","2","2","0","1",4800.00000000001
"180","6","1","12","1","1","0","1",8000
"181","6","1","21","2","1","0","1",36300.0000000001
"182","6","2","21","2","1","0","1",19300
"183","6","2","21","2","1","0","1",27600
"184","1","1","19","2","1","0","1",124000
"185","1","2","21","2","1","0","1",52000.0000000001
"186","1","1","21","2","1","0","1",52000.0000000001
"187","1","1","16","2","1","0","1",65000.0000000001
"188","1","1","16","2","1","0","1",97999.9999999998
"189","6","1","16","1","1","0","1",2700
"190","6","1","16","1","1","0","1",18000
"191","6","2","21","2","1","0","1",50200.0000000001
"192","6","2","22","2","1","0","1",82000.0000000001
"193","1","1","21","2","1","0","1",35299.9999999999
"194","6","1","21","2","1","0","1",48020.0000000001
"195","6","2","20","2","1","0","1",12440
"196","1","1","20","2","1","0","1",94800.0000000001
"197","6","2","19","2","1","0","1",33300
"198","1","2","22","2","1","0","1",27699.9999999999
"199","1","1","21","2","1","0","1",87000
"200","6","1","18","1","1","0","1",38600.0000000001
"201","6","2","16","1","1","0","1",9999.99999999999
"202","1","2","23","2","1","0","1",54000
"203","1","1","23","2","1","0","1",64000
"204","1","1","16","1","1","0","9",25999.9999999999
"205","1","2","21","2","1","0","1",44000.0000000001
"206","1","1","20","2","1","0","1",38600.0000000001
"207","1","1","14","2","1","0","1",4000
"208","1","1","17","2","1","0","1",55000.0000000001
"209","1","2","17","2","2","0","1",41000.0000000001
"210","1","2","22","2","1","0","1",55999.9999999999
"211","1","1","21","1","1","0","1",59999.9999999999
"212","1","2","21","2","1","0","1",39999.9999999999
"213","1","1","19","2","1","0","1",75000
"214","1","2","19","2","1","0","1",39199.9999999999
"215","1","2","16","2","2","0","3",39000
"216","6","1","13","2","1","1","3",600
"217","3","1","16","2","1","0","1",8800.00000000002
"218","6","2","22","2","1","0","1",37299.9999999999
"219","6","1","19","2","1","0","1",20000
"220","1","2","19","2","1","0","1",98060.0000000002
"221","1","1","23","2","1","0","1",99999.9999999998
"222","1","1","20","2","1","0","1",36000
"223","1","2","17","2","1","0","1",36000
"224","3","1","19","2","1","0","1",21000
"225","1","2","16","1","1","0","1",27500
"226","1","1","16","2","1","0","1",95000.0000000002
"227","1","2","20","2","1","0","1",25000
"228","6","1","21","1","1","0","1",95000.0000000002
"229","6","2","18","1","1","0","1",11220
"230","1","1","21","2","1","0","1",12040
"231","1","2","22","2","1","0","1",59999.9999999999
"232","1","2","19","1","1","0","1",3749.99999999999
