"","Mobility","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"4207",1,1,1,22,2,1,0,1,100000
"1375",1,1,1,16,1,2,0,1,37500
"3709",1,1,1,21,2,1,0,1,48900
"5493",1,6,1,19,1,1,0,3,80700
"1145",1,1,1,21,2,1,0,1,100000
"1676",1,1,1,21,1,1,0,1,55000
"2926",1,6,2,22,2,1,0,1,30000
"3024",1,1,1,17,2,1,0,9,38300
"1074",1,3,1,21,2,1,0,1,81900
"2852",3,6,2,16,2,1,0,1,36200
"822",3,1,1,16,2,1,0,1,19000
"5216",1,6,2,16,2,1,0,1,1200
"495",1,1,2,21,2,1,0,1,111000
"4621",3,1,1,20,2,1,0,1,4800
"5188",1,6,2,20,1,1,0,1,16000
"1005",1,1,2,18,2,1,0,1,36000
"3464",1,1,1,16,2,2,0,1,10000
"3139",1,6,1,22,2,1,0,1,39000
"1919",3,1,1,22,2,1,0,1,160100
"697",1,6,2,14,2,1,0,1,6000
"2469",1,1,2,20,2,1,0,1,28000
"1106",1,1,1,22,2,1,0,1,72000
"2995",1,1,2,21,2,1,0,1,26000
"1104",1,6,2,16,2,1,0,1,13000
"4163",3,1,1,11,2,2,0,1,29220
"4206",1,1,1,20,2,1,0,1,8000
"530",1,1,2,16,2,1,0,1,10000
"2358",1,6,2,20,1,1,0,1,25500
"3517",1,1,1,21,2,1,0,1,48000
"3310",1,1,2,20,2,1,0,1,51000
"5395",1,1,2,21,2,1,0,1,41800
"895",1,1,1,16,1,1,0,9,78000
"2872",1,1,1,19,2,2,0,1,26000
"5436",1,6,1,16,2,1,0,1,15000
"4784",1,1,1,16,2,1,0,1,36000
"5031",1,1,2,18,2,2,0,1,10000
"5374",1,1,1,16,2,2,0,1,24000
"1570",1,1,2,18,2,1,0,1,40000
"3594",1,1,2,19,2,1,0,1,32000
"4061",1,1,2,16,2,1,0,1,48000
"2477",1,6,1,19,1,1,0,1,50200
"4114",1,4,1,16,2,1,0,1,25000
"3707",1,2,1,19,2,1,0,1,46100
"3412",3,1,1,16,2,1,0,1,80000
"2168",1,6,2,21,2,1,0,1,1000
"5456",3,1,1,21,2,1,0,1,77000
"255",1,6,1,16,1,1,0,1,18000
"3523",1,1,1,16,2,1,0,1,75000
"4822",1,1,1,24,2,1,0,6,48000
"5597",1,6,1,21,2,1,0,1,96200
"2109",3,1,2,21,2,1,0,1,40000
"1224",1,1,1,21,2,1,0,1,78000
"2791",1,6,1,16,2,1,0,1,5100
"5331",1,6,2,21,2,1,0,1,750
"5473",3,6,2,13,1,2,0,1,1200
"881",1,6,2,16,1,1,0,1,39000
"5482",1,1,1,21,2,1,0,1,55000
"700",1,6,2,18,1,1,0,1,25800
"788",1,1,1,22,2,1,0,1,55000
"1001",1,3,1,21,2,1,0,1,37200
"131",1,1,2,22,2,1,0,1,42420
"1473",1,1,2,21,2,1,0,1,115030
"4708",3,1,2,20,2,1,0,1,50000
"2750",1,6,1,19,2,1,0,1,8000
"448",1,3,1,16,2,1,0,1,22600
"3987",3,1,2,19,2,1,0,1,5400
"212",1,1,1,16,1,1,0,1,15600
"4382",1,1,1,16,2,1,0,1,58000
"1474",1,1,2,20,2,2,0,1,88000
"5091",1,1,2,21,2,1,0,1,68000
"5502",1,6,2,21,1,1,0,1,10800
"5645",1,6,2,21,1,1,0,1,49900
"5333",1,1,1,21,2,1,0,1,61000
"4303",1,1,1,19,2,1,0,1,125400
"418",1,6,1,22,1,1,0,1,26500
"254",1,6,1,16,1,1,0,1,2700
"3771",1,1,2,22,2,1,0,1,85000
"3509",1,1,1,18,2,1,0,1,24000
"2067",1,1,1,16,2,1,0,1,76000
"2014",3,1,2,21,2,1,0,1,35010
"2585",1,1,2,16,2,2,0,3,2900
"4662",1,1,2,21,2,1,0,6,30000
"3421",1,1,2,20,2,1,0,1,28600
"5547",1,1,2,18,2,1,0,1,40000
"5646",1,1,1,19,2,1,0,1,32000
"449",1,1,2,19,2,1,0,1,43200
"5090",1,6,2,20,1,1,0,1,26900
"1615",1,1,2,19,2,1,0,1,54000
"5054",3,1,1,19,1,1,0,1,23400
"5133",1,6,1,24,2,1,0,1,18000
"820",1,2,1,16,2,1,0,1,32500
"243",1,1,2,21,2,1,0,1,52000
"2414",1,1,2,16,2,1,0,1,60000
"3971",1,1,2,21,2,1,0,1,48000
"2436",1,6,2,20,2,1,0,1,38100
"941",1,6,1,16,2,1,0,1,37600
"1396",1,1,1,22,2,1,0,1,15700
"2842",1,6,1,19,2,1,0,1,59700
"2150",1,1,2,22,2,1,0,1,67000
"5394",1,1,1,21,1,1,0,1,48000
"3126",1,1,2,16,1,1,0,1,70000
"2840",1,1,2,20,2,1,0,1,39000
"2669",1,6,1,19,2,1,0,1,46020
"1921",1,1,2,21,2,1,0,1,30220
"4588",1,1,1,20,2,1,0,1,34000
"512",1,1,1,15,1,1,0,1,150000
