"epochs","BARTMean","BARTsd","MIMean","MIsd","GPMean","GPsd","actual","runtimeBART","runtimeMI","runtimeGP"
1,6.36762226999817e-10,2.16891998514461e-10,1.08634170994187e-11,NA,4.7492891609129e-10,0.165397341134766,1.9827e-09,13343.316,0.319999999999709,37430.52
2,5.65141907818073e-10,1.92622889778543e-10,6.67055058834451e-10,7.12684635023295e-10,2.89163429340266e-09,0.170513052003585,1.9827e-09,13343.316,0.319999999999709,37430.52
3,6.01358039553803e-10,1.90267210125916e-10,3.8107912290716e-12,3.56609760062632e-12,3.41458538679486e-09,0.175610315215364,1.9827e-09,13343.316,0.319999999999709,37430.52
4,6.15808249280103e-10,1.82370787493702e-10,5.1443687296286e-12,9.58018218922204e-12,3.98761290743903e-09,0.178951403344197,1.9827e-09,13343.316,0.319999999999709,37430.52
5,5.80006513917165e-10,1.9852921010122e-10,9.37775721176073e-09,1.82461022690875e-08,3.89217655874748e-09,0.182451485959593,1.9827e-09,13343.316,0.319999999999709,37430.52
6,6.18226605731458e-10,1.43753337491557e-10,2.74988900931258e-11,6.22475624051546e-11,3.61331935895353e-09,0.184876356538654,1.9827e-09,13343.316,0.319999999999709,37430.52
7,6.1627228458456e-10,1.90970420504582e-10,1.39827893253663e-09,3.6139163961293e-09,4.20348587125632e-09,0.187156683252176,1.9827e-09,13343.316,0.319999999999709,37430.52
8,5.91374868841408e-10,1.68526463514879e-10,8.08718486853157e-11,1.71939851666858e-10,4.2605352018551e-09,0.189892198997333,1.9827e-09,13343.316,0.319999999999709,37430.52
9,5.95092250036385e-10,1.62777506146817e-10,1.3147012140842e-08,2.656481983405e-08,4.28847799589132e-09,0.191545536027731,1.9827e-09,13343.316,0.319999999999709,37430.52
10,6.14517985391304e-10,1.67344427831854e-10,1.01981895672199e-09,1.73947330149348e-09,5.26793467076725e-09,0.193134440084604,1.9827e-09,13343.316,0.319999999999709,37430.52
11,5.53164043186975e-10,1.74264318322458e-10,3.20708070802732e-10,7.25638812834254e-10,5.2325028544223e-09,0.194272660823873,1.9827e-09,13343.316,0.319999999999709,37430.52
12,5.67825313583758e-10,1.91330036189711e-10,1.25158187928424e-09,3.58868057899866e-09,5.04822494916089e-09,0.195020903631943,1.9827e-09,13343.316,0.319999999999709,37430.52
13,5.09301847994897e-10,2.23207067607678e-10,1.93712098158254e-10,4.14478628477447e-10,5.79403089861287e-09,0.195934622877393,1.9827e-09,13343.316,0.319999999999709,37430.52
14,7.28031190728855e-10,2.11500070233283e-10,3.24643035085497e-10,7.23551552692201e-10,5.66009523345709e-09,0.196559922946883,1.9827e-09,13343.316,0.319999999999709,37430.52
15,6.91335059190739e-10,2.06425768637459e-10,2.74970138568563e-10,8.59191182109775e-10,5.54882552889959e-09,0.197221253355534,1.9827e-09,13343.316,0.319999999999709,37430.52
16,7.17226498540144e-10,2.36038738951354e-10,9.88103607170749e-11,2.01602829549595e-10,5.39645402340499e-09,0.197699490279267,1.9827e-09,13343.316,0.319999999999709,37430.52
17,7.03121143981182e-10,2.12363353591046e-10,2.64880908054723e-10,5.7055661696114e-10,5.26188857342377e-09,0.19817122021429,1.9827e-09,13343.316,0.319999999999709,37430.52
18,7.22096032009122e-10,1.84286648928327e-10,5.91866276439347e-11,9.44602762646826e-11,5.18925655248542e-09,0.198646079930633,1.9827e-09,13343.316,0.319999999999709,37430.52
19,6.32181840605092e-10,1.9150187625811e-10,6.9209116074757e-11,1.47401862459031e-10,2.07594114435819e-08,0.19913096001548,1.9827e-09,13343.316,0.319999999999709,37430.52
20,7.45592495876714e-10,2.44887837669759e-10,1.42834042814147e-10,4.15816973780403e-10,2.17480567317049e-08,0.199582487406986,1.9827e-09,13343.316,0.319999999999709,37430.52
21,7.5642049956134e-10,1.92851169466829e-10,3.19115046436234e-10,5.43015828680166e-10,1.73679306238083e-08,0.199949224403582,1.9827e-09,13343.316,0.319999999999709,37430.52
22,7.19518326846472e-10,1.82478209180983e-10,8.82831359293481e-10,3.34239750136911e-09,1.64998993367359e-08,0.200235823176352,1.9827e-09,13343.316,0.319999999999709,37430.52
23,7.67948994647435e-10,2.04911747837518e-10,2.01067305864528e-10,4.20526713001616e-10,2.05872212344048e-08,0.200672680932473,1.9827e-09,13343.316,0.319999999999709,37430.52
24,7.44483965045811e-10,2.1482202358313e-10,2.52609590627508e-10,8.38616043015651e-10,2.02868911046085e-08,0.200929521537743,1.9827e-09,13343.316,0.319999999999709,37430.52
25,6.64795038557531e-10,1.42441296112414e-10,1.50176231850694e-10,2.02181743339984e-10,2.03620189619752e-08,0.201178827256063,1.9827e-09,13343.316,0.319999999999709,37430.52
26,6.77669821591817e-10,2.03524778756653e-10,1.48627999672521e-10,3.08212403317252e-10,2.10177211877914e-08,0.201392707463959,1.9827e-09,13343.316,0.319999999999709,37430.52
27,6.36994351605188e-10,2.22911834328506e-10,3.55449403786282e-10,1.30380197781575e-09,2.05696707379676e-08,0.201590504869226,1.9827e-09,13343.316,0.319999999999709,37430.52
28,7.49324169474506e-10,2.00013615984669e-10,7.93517541813997e-10,3.44004107500877e-09,2.06939419191922e-08,0.20177131526419,1.9827e-09,13343.316,0.319999999999709,37430.52
29,6.71106720893187e-10,1.90558336742508e-10,6.02989030283044e-10,2.22084764282728e-09,2.0523588666367e-08,0.201931918740727,1.9827e-09,13343.316,0.319999999999709,37430.52
30,6.9667499590532e-10,2.13505311189456e-10,1.34225780124926e-10,4.5540359343513e-10,2.03902673127079e-08,0.202075068823636,1.9827e-09,13343.316,0.319999999999709,37430.52
31,6.75318481369535e-10,1.78892457993504e-10,3.69280951267239e-10,1.65678231436968e-09,1.92670817936911e-08,0.20225192067498,1.9827e-09,13343.316,0.319999999999709,37430.52
32,7.04721975049061e-10,1.80140339666012e-10,8.66818758196207e-11,2.09996153292105e-10,1.75231247866165e-08,0.202398206673102,1.9827e-09,13343.316,0.319999999999709,37430.52
33,6.24906231454092e-10,1.73983088971309e-10,5.32578952608546e-10,1.25015309831675e-09,1.68009026410574e-08,0.202528485753484,1.9827e-09,13343.316,0.319999999999709,37430.52
34,7.07562142935882e-10,1.58373364341031e-10,1.57159569108916e-09,4.04084002472152e-09,1.72824815186345e-08,0.202643836566,1.9827e-09,13343.316,0.319999999999709,37430.52
35,6.74760520794424e-10,1.59505961430511e-10,4.78056957351782e-09,2.74420361469356e-08,1.61922862521521e-08,0.202809554997268,1.9827e-09,13343.316,0.319999999999709,37430.52
36,6.63877434776412e-10,1.80634900900521e-10,1.15893839403133e-09,4.67680413221873e-09,1.59650676334479e-08,0.202963336694408,1.9827e-09,13343.316,0.319999999999709,37430.52
37,6.40146271618262e-10,1.73778316940647e-10,9.16202832565714e-10,4.9236355605355e-09,1.66478567095476e-08,0.20307669143416,1.9827e-09,13343.316,0.319999999999709,37430.52
38,6.56282397064016e-10,1.61274052104312e-10,6.21709583818878e-10,3.04976773853805e-09,1.6524898913725e-08,0.203186881820519,1.9827e-09,13343.316,0.319999999999709,37430.52
39,6.71002086851031e-10,2.06691906354741e-10,2.776752399494e-10,7.89309093929144e-10,1.59617457164443e-08,0.203319636484644,1.9827e-09,13343.316,0.319999999999709,37430.52
40,6.18922735015865e-10,1.54189618663311e-10,1.46074807879311e-09,7.31013661200283e-09,1.5945901894685e-08,0.203417016197867,1.9827e-09,13343.316,0.319999999999709,37430.52
41,6.36784813698631e-10,1.36767955965389e-10,9.19255436168399e-10,3.25183187306714e-09,1.65620608769322e-08,0.203505881495519,1.9827e-09,13343.316,0.319999999999709,37430.52
