"epochs","BARTMean","BARTsd","MIMean","MIsd","BRmean","BRsd","PoptMean"
1,9.54759893742562,0.140459366294699,9.66935476766178,1.39758660714457,NA,NA,9.82184297329122
2,9.4881973522644,0.164278977463134,9.67561552641324,1.39208740255886,NA,NA,9.82184297329122
3,9.5242945006951,0.233446731400586,9.68326103917108,1.38741810315389,NA,NA,9.82184297329122
4,9.51955025812623,0.259974116503609,9.68556901167744,1.38086724293717,NA,NA,9.82184297329122
5,9.54141962353615,0.181079910888873,9.69269802874335,1.3761526748455,NA,NA,9.82184297329122
6,9.57763724041719,0.19505083400062,9.69541265671438,1.36986903245483,NA,NA,9.82184297329122
7,9.48883709253493,0.241571773266401,9.6990612216921,1.36391434274856,NA,NA,9.82184297329122
8,9.47691881041621,0.175664902210168,9.66037973739738,1.41579394178829,NA,NA,9.82184297329122
9,9.61465710683829,0.129164664137223,9.66340070539169,1.40957699902241,NA,NA,9.82184297329122
10,9.50326856683423,0.200605354349217,9.65871947141775,1.40395489363165,NA,NA,9.82184297329122
