"epochs","BARTMean","BARTsd","MIMean","MIsd"
1,22649.7018418026,6834.76512538875,27341.1782682513,30740.0349479717
2,26299.3018193337,8626.42033594058,27299.9220338983,30730.2724526254
3,22940.0888328406,7772.34986282924,27266.9272419628,30714.6943377952
4,24432.8756628373,7365.80561422605,27279.652027027,30690.2596971422
5,24053.8153788431,8671.54371910632,27284.239460371,30664.5313977111
