"epochs","BARTMean","BARTsd","MIMean","MIsd"
1,49387.2163388246,16051.6053219916,55547.9702048417,66699.4543445805
2,46555.4718377478,16116.1098952011,55556.2453531599,66637.5980604182
3,50615.4714166763,15299.8517598163,55471.7254174397,66604.5496913121
4,44265.3696436408,16810.7166013452,55526.4074074074,66554.8671449891
5,45655.5256094491,16976.9792909836,55494.011090573,66497.4831157782
