"epochs","BARTMean","BARTsd","MIMean","MIsd","BRSMean","BRSsd","PoptMean"
1,46.1294725755556,2.79968446335453,40.9670588235294,3.74492104369764,41.3376470588235,3.73339176179769,43.2518552502453
2,45.5789498320352,2.37483604364856,40.4003846153846,3.71581268305375,41.2407692307692,3.66149498805754,43.2518552502453
3,45.7162405646644,2.07605344163275,39.9211320754717,3.67633261533129,40.6041509433962,3.64814253655323,43.2518552502453
4,45.5062144233496,2.69369388584552,39.6855555555556,3.61479743006781,39.9855555555556,3.63336454131912,43.2518552502453
5,45.4420811038063,2.89898540843698,40.7094545454545,3.69527682462016,39.8403636363636,3.56908920232199,43.2518552502453
6,45.8561367426288,2.46967035059942,41.5003571428571,3.71482664324653,39.3432142857143,3.53992168851273,43.2518552502453
7,45.4022382604792,3.19750557219829,41.4038596491228,3.64978912196938,38.8389473684211,3.51373448315687,43.2518552502453
8,45.5988237575657,2.31613046069644,40.7072413793103,3.65396348799881,40.238275862069,3.72953062942044,43.2518552502453
9,44.5097480395556,2.15347989726204,40.2579661016949,3.61944080087492,40.4071186440678,3.66918226001983,43.2518552502453
10,44.8255121537963,2.37512845054025,39.6953333333333,3.60304820411813,39.897,3.6434911983716,43.2518552502453
11,44.6218872197624,2.62853181780239,39.8150819672131,3.54505420443555,39.936393442623,3.58298651835454,43.2518552502453
12,44.2017630374965,2.94086738042472,39.8777419354839,3.48751074121369,39.5941935483871,3.54109470490853,43.2518552502453
13,44.6890492868609,2.68599877827343,39.3606349206349,3.47062842262315,40.5180952380952,3.60631120865494,43.2518552502453
14,44.7800683289002,2.12521625706558,39.69875,3.43249816655323,40.66625,3.55220820678756,43.2518552502453
15,44.6135243708705,2.63823276043616,39.7033846153846,3.3788686108953,40.9329230769231,3.50701742606346,43.2518552502453
16,44.3377461384963,3.01616198294919,39.2230303030303,3.36191324768443,40.8430303030303,3.4542511872818,43.2518552502453
17,43.917057796494,2.75980261944538,39.7570149253731,3.3544025455785,40.6635820895522,3.40671524430906,43.2518552502453
18,44.2163490419537,2.28223735876015,39.415,3.32225255184895,40.3317647058823,3.37247700596555,43.2518552502453
19,42.9471207432148,2.44864736642938,39.7133333333333,3.28716174511137,40.9457971014493,3.37995911073139,43.2518552502453
20,43.7611340479097,2.47160703607325,39.646,3.24023154386951,40.9322857142857,3.33100199614421,43.2518552502453
21,42.9144595508979,2.80548692610844,39.5988732394366,3.19429514788599,40.7430985915493,3.28893985519402,43.2518552502453
22,43.1827516186807,2.66478805823323,39.7016666666667,3.15100583469528,40.3216666666667,3.27027059854999,43.2518552502453
23,43.4411782566823,3.18403862237328,39.4317808219178,3.11910275870886,40.8652054794521,3.27096260130019,43.2518552502453
24,44.6235667552148,2.40055187927878,38.9664864864865,3.11184024137448,41.0643243243243,3.23237789326248,43.2518552502453
25,45.260086399004,1.93174250823234,38.5829333333333,3.09397826845759,40.8901333333333,3.1935155863626,43.2518552502453
26,46.0446266267414,1.76440517625383,39.2726315789474,3.13068002477798,41.2731578947368,3.17443816739222,43.2518552502453
27,47.0323876855282,3.27057276120346,38.9054545454545,3.11151442330283,41.4514285714286,3.13780419894835,43.2518552502453
28,46.5722612212305,2.25446390072507,38.4169230769231,3.11021692608347,41.0353846153846,3.12523293214423,43.2518552502453
29,45.611366282393,2.48576986924316,38.0243037974684,3.09566282502112,40.9716455696203,3.08583263186768,43.2518552502453
30,45.8937394307048,2.34667613637864,37.6615,3.07820495566469,41.137,3.05131193346436,43.2518552502453
31,45.3752605398561,2.46494273368849,37.7520987654321,3.04109410675279,41.197037037037,3.01377606502854,43.2518552502453
32,45.2160519585761,2.89019302964847,37.6575609756098,3.00505553075219,43.4360975609756,3.73299457423521,43.2518552502453
33,45.1541832098809,2.44968273371347,38.0472289156627,2.99418468349818,43.9850602409639,3.72860188168072,43.2518552502453
34,44.6976430352851,2.52974096354037,37.8561904761905,2.964346667609,44.1519047619048,3.68750094454647,43.2518552502453
35,45.022667289734,2.84136464572958,38.0108235294118,2.93318426497659,44.6690588235294,3.68055276670059,43.2518552502453
36,45.0785861263548,2.18762566193534,38.1502325581395,2.9020660435551,44.7033720930233,3.63741589939935,43.2518552502453
37,44.2266728698824,2.26378923141952,38.6266666666667,2.90807406111109,44.4768965517241,3.6023295273386,43.2518552502453
38,44.2009857335544,2.14138920564261,38.4604545454545,2.87950424432162,44.19875,3.57189452731582,43.2518552502453
39,44.2537805875842,2.44949117791169,38.7496629213483,2.8616015021782,43.9830337078652,3.53796212779024,43.2518552502453
40,44.8027745753327,2.58811908542072,38.5635555555556,2.8356313109211,43.7265555555556,3.50770460141519,43.2518552502453
41,43.5426348516148,3.03967119115269,38.6342857142857,2.80502609808443,48.8141758241758,6.18090343004197,43.2518552502453
42,43.264681743695,2.18180759612035,38.6491304347826,2.77424178859053,53.2835869565217,7.5870738841753,43.2518552502453
43,43.1388906037279,2.65984858134442,38.4754838709677,2.74963529767675,52.8472043010753,7.51742018716883,43.2518552502453
44,43.2525140600443,2.89829082322679,38.193829787234,2.73476857619964,53.1679787234043,7.44357705944731,43.2518552502453
45,43.566022010799,2.56129011779821,37.7918947368421,2.73568075887111,53.1556842105263,7.36440044118597,43.2518552502453
46,42.9168794717388,2.44758378996567,37.6794791666667,2.70924194555454,52.8103125,7.29514658597568,43.2518552502453
47,42.8445563995944,2.29386963258314,42.0332989690722,5.13235564139151,52.7411340206186,7.21949037640874,43.2518552502453
48,42.9868838456444,2.34205957193743,42.9819387755102,5.16816737700457,52.2641836734694,7.16112749103018,43.2518552502453
